# scan = 340
# date = 11/11/2003
# time = 11:26:22 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan n=40
# builtin_command = scan n 40
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 00l scan, base temp, H = 3 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = Pt.
# def_y = detector
# col_headers = 
#   Pt.       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1      0.927    816.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2228     4.183
      2      0.926    874.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2241     4.184
      3      0.930    807.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2241     4.184
      4      0.901    753.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2241     4.184
      5      0.929    831.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2241     4.184
      6      0.914    784.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2241     4.184
      7      0.910    834.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2241     4.184
      8      0.942    892.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2241     4.184
      9      0.923    770.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2241     4.184
     10      0.931    822.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2241     4.184
     11      0.938    825.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2261     4.186
     12      0.915    760.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2261     4.186
     13      0.902    751.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2261     4.186
     14      0.917    863.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2261     4.186
     15      0.898    807.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2261     4.186
     16      0.939    876.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2261     4.186
     17      0.915    749.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2261     4.186
     18      0.917    805.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2261     4.186
     19      0.922    792.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2261     4.186
