# scan = 342
# date = 11/11/2003
# time = 11:29:44 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan n=40 preset mcu=2
# builtin_command = scan n 40 preset mcu 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 00l scan, base temp, H = 3 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = Pt.
# def_y = detector
# col_headers = 
#   Pt.       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1      1.860   1552.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2249     4.195
      2      1.859   1623.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2249     4.195
      3      1.855   1551.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2249     4.195
      4      1.853   1571.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2249     4.195
      5      1.882   1574.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2249     4.195
      6      1.834   1559.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2222     4.194
      7      1.839   1584.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2222     4.194
      8      1.826   1647.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2222     4.194
      9      1.845   1562.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2222     4.194
     10      1.848   1585.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2222     4.194
     11      1.863   1559.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2257     4.192
     12      1.881   1522.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2257     4.192
     13      1.890   1626.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2257     4.192
     14      1.888   1698.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2257     4.192
     15      1.850   1570.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2257     4.192
     16      1.871   1631.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2208     4.198
     17      1.838   1591.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2208     4.198
     18      1.836   1597.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2208     4.198
     19      1.843   1654.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2208     4.198
     20      1.863   1622.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2208     4.198
     21      1.844   1555.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2256     4.194
     22      1.846   1576.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2256     4.194
     23      1.855   1693.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2256     4.194
     24      1.838   1631.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2256     4.194
     25      1.862   1599.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2256     4.194
     26      1.902   1674.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2271     4.193
     27      1.829   1604.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2271     4.193
     28      1.834   1637.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2271     4.193
     29      1.842   1601.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2271     4.193
     30      1.840   1595.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2271     4.193
     31      1.864   1619.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2258     4.198
     32      1.868   1548.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2258     4.198
     33      1.869   1661.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2258     4.198
     34      1.897   1632.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2258     4.198
     35      1.861   1527.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2258     4.198
     36      1.877   1643.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2220     4.194
     37      1.824   1537.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2220     4.194
     38      1.864   1625.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2220     4.194
     39      1.857   1548.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2220     4.194
     40      1.845   1533.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2220     4.194
     41      1.872   1663.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2268     4.196
# Sum of Counts = 65579
# Center of Mass = 21.046433+/-0.125010
# Full Width Half-Maximum = 23.573416+/-0.086408
# 11:31:06 AM  11/11/2003   scan completed.
