# scan = 343
# date = 11/11/2003
# time = 11:35:01 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h .47 .53 .0025 k .47 .53 .0025 l .47 .53 .0025 preset mcu 5
# builtin_command = scan h .47 .53 .0025 k .47 .53 .0025 l .47 .53 .0025 preset mcu 5
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = hhh (.5,.5,.5) field dependence: base Temp, H = 0 T going down from 3 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 5.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.4700     0.4701     0.4700      4.667     11.000  18500.000      5.000    41.2537    35.9970   -23.7912    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.0958    14.6405    14.6385     0.0020   295.0000     4.2288     4.212
      2     0.4724     0.4725     0.4725      4.618     14.000  18500.000      5.000    41.2537    35.9331   -23.9172    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1015    14.6405    14.6385     0.0020   295.0000     4.2288     4.212
      3     0.4750     0.4751     0.4750      4.613     19.000  18500.000      5.000    41.2537    35.8701   -24.0471    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1074    14.6405    14.6385     0.0020   295.0000     4.2223     4.195
      4     0.4775     0.4775     0.4775      4.580     10.000  18500.000      5.000    41.2537    35.8041   -24.1761    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1132    14.6405    14.6385     0.0020   295.0000     4.2185     4.196
      5     0.4799     0.4800     0.4800      4.697     13.000  18500.000      5.000    41.2537    35.7402   -24.3040    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1190    14.6405    14.6385     0.0020   295.0000     4.2185     4.196
      6     0.4825     0.4825     0.4825      4.574     18.000  18500.000      5.000    41.2537    35.6762   -24.4330    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1249    14.6405    14.6385     0.0020   295.0000     4.2193     4.177
      7     0.4850     0.4851     0.4850      4.578    114.000  18500.000      5.000    41.2537    35.6112   -24.5619    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1307    14.6405    14.6385     0.0020   295.0000     4.2192     4.196
      8     0.4875     0.4876     0.4875      4.566    392.000  18500.000      5.000    41.2537    35.5492   -24.6898    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1365    14.6405    14.6385     0.0020   295.0000     4.2192     4.196
      9     0.4900     0.4900     0.4900      4.603    945.000  18500.000      5.000    41.2537    35.4833   -24.8188    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1424    14.6405    14.6385     0.0020   295.0000     4.2176     4.200
     10     0.4924     0.4925     0.4925      4.574   1310.000  18500.000      5.000    41.2537    35.4183   -24.9467    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1482    14.6405    14.6385     0.0020   295.0000     4.2176     4.200
     11     0.4949     0.4950     0.4950      4.666   1757.000  18500.000      5.000    41.2537    35.3543   -25.0757    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1540    14.6405    14.6385     0.0020   295.0000     4.2213     4.213
     12     0.4975     0.4976     0.4975      4.588   2764.000  18500.000      5.000    41.2537    35.2904   -25.2056    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1599    14.6405    14.6385     0.0020   295.0000     4.2180     4.202
     13     0.5000     0.5001     0.5000      4.611   3834.000  18500.000      5.000    41.2537    35.2274   -25.3335    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657    14.6405    14.6385     0.0020   295.0000     4.2180     4.202
     14     0.5024     0.5025     0.5025      4.657   3744.000  18500.000      5.000    41.2537    35.1624   -25.4615    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1715    14.6405    14.6385     0.0020   295.0000     4.2275     4.184
     15     0.5050     0.5051     0.5050      4.679   2400.000  18500.000      5.000    41.2537    35.0974   -25.5914    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1774    14.6405    14.6385     0.0020   295.0000     4.2229     4.195
     16     0.5074     0.5075     0.5075      4.656    980.000  18500.000      5.000    41.2537    35.0335   -25.7194    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1832    14.6405    14.6385     0.0020   295.0000     4.2229     4.195
     17     0.5099     0.5100     0.5100      4.660    385.000  18500.000      5.000    41.2537    34.9695   -25.8483    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1890    14.6405    14.6385     0.0020   295.0000     4.2245     4.196
     18     0.5125     0.5125     0.5125      4.615    190.000  18500.000      5.000    41.2537    34.9055   -25.9772    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1948    14.6405    14.6385     0.0020   295.0000     4.2280     4.209
