# scan = 345
# date = 11/11/2003
# time = 11:40:09 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan n=2000 preset mcu=5
# builtin_command = scan n 2000 preset mcu 5
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = hhh (.5,.5,.5) field dependence: base Temp, H = 0 T going down from 3 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 5.000000
# def_x = Pt.
# def_y = detector
# col_headers = 
#   Pt.       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1      4.619    543.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   145.7230    37.816
      2      4.618    206.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   152.1700    39.759
      3      4.650     97.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   152.1700    39.759
      4      4.693     11.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   158.6300    41.672
      5      4.644     15.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   158.6300    41.672
      6      4.663     10.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   164.8760    43.484
      7      4.663      9.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   164.8760    43.484
      8      4.612      4.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   171.0970    45.222
      9      4.581      7.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   171.0970    45.222
     10      4.643     12.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   171.0970    45.222
     11      4.615     12.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   177.1070    46.567
     12      4.624      9.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   177.1070    46.567
     13      4.657     15.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   182.8310    48.346
     14      4.622     16.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   182.8310    48.346
     15      4.624      9.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   188.6910    49.900
     16      4.607     12.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   188.6910    49.900
     17      4.678     13.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   194.3910    51.250
     18      4.632     10.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   194.3910    51.250
     19      4.630      9.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   200.2260    52.832
     20      4.655     13.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   200.2260    52.832
     21      4.668      7.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   205.6810    54.289
     22      4.591     11.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   205.6810    54.289
     23      4.633     12.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   211.3020    55.636
     24      4.647     14.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   211.3020    55.636
     25      4.608     10.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   216.8140    56.847
     26      4.644      6.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   216.8140    56.847
     27      4.650      7.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   222.2330    58.144
     28      4.672     12.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   222.2330    58.144
     29      4.587      9.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   227.6160    59.396
     30      4.665      9.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   227.6160    59.396
     31      4.628      9.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   227.6160    59.396
     32      4.565      8.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   232.8830    60.658
     33      4.612      4.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   232.8830    60.658
     34      4.612      7.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   238.0490    61.948
     35      4.643      3.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   238.0490    61.948
     36      4.577     11.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   243.0980    63.197
     37      4.607     10.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   243.0980    63.197
     38      4.610     12.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   248.1490    64.492
     39      4.588      6.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   248.1490    64.492
     40      4.620      8.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   253.1610    65.683
     41      4.620      9.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   253.1610    65.683
     42      4.639     12.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   258.0350    66.964
     43      4.619      9.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   258.0350    66.964
     44      4.631      8.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   262.9890    68.233
     45      4.677      6.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   262.9890    68.233
     46      4.657      7.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   267.7340    69.452
     47      4.587      6.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   267.7340    69.452
     48      4.600      9.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   272.4570    70.668
     49      4.576     10.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   272.4570    70.668
     50      4.619     11.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   272.4570    70.668
     51      4.620     10.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   277.2310    71.929
     52      0.331      1.000   1289.000      0.348    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   277.2310    71.929
# Sum of Counts = 1305
# Center of Mass = 10.183908+/-0.564661
# Full Width Half-Maximum = 28.890485+/-0.941150
# 11:44:12 AM  11/11/2003   scan stopped!!
