# scan = 1
# date = 10/22/2003
# time = 6:44:57 PM
# experiment = Alignment and Intensity Checks
# experiment_number = 41
# command = scan s2 -2 2 .25 preset time 1
# builtin_command = scan s2 -2 2 .25 preset time 1
# users = MY
# local_contact = MY
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Sample with lattice params=2*pi
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 6.280000,6.280000,6.280000,90.000000,90.000000,90.000000
# ubmatrix = -0.112597,-0.112597,0.000000,0.000000,0.000000,-0.159236,0.112597,-0.112597,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = s2
# def_y = detector
# col_headers = 
#   Pt.         s2       time   detector    monitor        mcu         m1         m2         s1        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -1.9995      1.000   1017.000  73642.000      0.640    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0499    -0.2642    -0.2641    -8.0372    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      2    -1.7523      1.000   1159.000  73937.000      0.643    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0494    -0.2315    -0.2315    -8.0387    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      3    -1.4969      1.000   1146.000  73572.000      0.640    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0490    -0.1978    -0.1978    -8.0400    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      4    -1.2497      1.000   1117.000  73245.000      0.637    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0486    -0.1651    -0.1651    -8.0411    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      5    -0.9998      1.000   1085.000  73890.000      0.643    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0483    -0.1321    -0.1321    -8.0421    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      6    -0.7498      1.000   1011.000  73556.000      0.640    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0991    -0.0991    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      7    -0.4999      1.000    944.000  73254.000      0.637    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0479    -0.0661    -0.0661    -8.0433    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      8    -0.2527      1.000    890.000  73533.000      0.639    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0334    -0.0334    -8.0436    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      9    -0.0027      1.000    663.000  73504.000      0.639    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0004    -0.0004    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     10     0.2499      1.000    545.000  73074.000      0.635    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478     0.0330     0.0330    -8.0436    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     11     0.5026      1.000    367.000  73715.000      0.641    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0479     0.0664     0.0664    -8.0433    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     12     0.7526      1.000    247.000  73815.000      0.642    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481     0.0994     0.0994    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     13     0.9998      1.000    138.000  73567.000      0.640    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0483     0.1321     0.1321    -8.0421    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     14     1.2497      1.000     82.000  73174.000      0.636    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0486     0.1651     0.1651    -8.0412    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     15     1.4996      1.000     26.000  73847.000      0.642    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0490     0.1981     0.1981    -8.0400    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     16     1.7468      0.999     18.000  73699.000      0.641    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0494     0.2308     0.2307    -8.0387    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
# Sum of Counts = 10455
# Center of Mass = -0.851246+/-0.014221
# Full Width Half-Maximum = 1.630990+/-0.016690
# 6:45:46 PM  10/22/2003   scan stopped!!
