# scan = 2
# date = 10/22/2003
# time = 6:46:25 PM
# experiment = Alignment and Intensity Checks
# experiment_number = 41
# command = scanrel s2 -1.5 1.5 .25 preset time 1
# builtin_command = scan s2 @(s2)+-1.5 @(s2)+1.5 0.250000
# users = MY
# local_contact = MY
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Sample with lattice params=2*pi
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 6.280000,6.280000,6.280000,90.000000,90.000000,90.000000
# ubmatrix = -0.112597,-0.112597,0.000000,0.000000,0.000000,-0.159236,0.112597,-0.112597,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = s2
# def_y = detector
# col_headers = 
#   Pt.         s2       time   detector    monitor        mcu         m1         m2         s1        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -1.4941      1.000  14201.000  73947.000      0.643    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0490    -0.1974    -0.1974    -8.0401    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      2    -1.2524      1.000   3042.000  74092.000      0.644    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0486    -0.1655    -0.1655    -8.0411    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      3    -0.9970      1.000   1024.000  73955.000      0.643    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0483    -0.1318    -0.1317    -8.0421    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      4    -0.7526      1.000    986.000  74048.000      0.644    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0995    -0.0994    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      5    -0.5026      1.000   1093.000  73857.000      0.642    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0479    -0.0664    -0.0664    -8.0433    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      6    -0.2499      1.000   1176.000  74083.000      0.644    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0330    -0.0330    -8.0436    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      7     0.0000      1.000   1189.000  73916.000      0.643    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      8     0.2499      1.000   1143.000  73870.000      0.642    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478     0.0330     0.0330    -8.0436    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      9     0.4999      1.000   1069.000  73832.000      0.642    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0479     0.0660     0.0660    -8.0433    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     10     0.5054      0.000      0.000      0.000      0.000    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0479     0.0668     0.0667    -8.0433    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
# Sum of Counts = 24923
# Center of Mass = -1.075862+/-0.010431
# Full Width Half-Maximum = 1.259835+/-0.012053
# 6:46:55 PM  10/22/2003   scan stopped!!
