# scan = 3
# date = 10/22/2003
# time = 6:47:35 PM
# experiment = Alignment and Intensity Checks
# experiment_number = 41
# command = scan s2 -1.5 1.5 .25 preset time 1
# builtin_command = scan s2 -1.5 1.5 .25 preset time 1
# users = MY
# local_contact = MY
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Sample with lattice params=2*pi
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 6.280000,6.280000,6.280000,90.000000,90.000000,90.000000
# ubmatrix = -0.112597,-0.112597,0.000000,0.000000,0.000000,-0.159236,0.112597,-0.112597,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = s2
# def_y = detector
# col_headers = 
#   Pt.         s2       time   detector    monitor        mcu         m1         m2         s1        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -1.4996      1.000  11912.000  73570.000      0.640    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0490    -0.1982    -0.1981    -8.0400    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      2    -1.2552      1.000  36824.000  74037.000      0.644    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0486    -0.1659    -0.1658    -8.0411    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      3    -1.0025      1.000  59132.000  73433.000      0.639    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0483    -0.1325    -0.1325    -8.0421    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      4    -0.7498      1.000  70536.000  74064.000      0.644    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0991    -0.0991    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      5    -0.4971      1.000  68406.000  73634.000      0.640    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0479    -0.0657    -0.0657    -8.0433    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      6    -0.2527      1.000  42533.000  73816.000      0.642    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0334    -0.0334    -8.0436    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      7    -0.0027      1.000  14403.000  73641.000      0.640    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0004    -0.0004    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      8     0.2472      1.000   3121.000  74001.000      0.643    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478     0.0326     0.0326    -8.0436    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      9     0.4999      1.000    900.000  73980.000      0.643    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0479     0.0660     0.0660    -8.0433    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     10     0.7471      1.000    956.000  73838.000      0.642    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481     0.0987     0.0987    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     11     0.9970      1.000   1079.000  73852.000      0.642    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0483     0.1317     0.1317    -8.0421    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     12     1.2497      1.000   1185.000  73649.000      0.640    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0486     0.1651     0.1651    -8.0412    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     13     1.5024      1.000   1154.000  73831.000      0.642    50.9940   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0490     0.1985     0.1984    -8.0400    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
# Sum of Counts = 312141
# Center of Mass = -0.688208+/-0.001916
# Full Width Half-Maximum = 0.892403+/-0.002375
# 6:48:15 PM  10/22/2003   scan completed.
