# scan = 4
# date = 10/22/2003
# time = 6:49:17 PM
# experiment = Alignment and Intensity Checks
# experiment_number = 41
# command = scanrel m1 -1 1 .05
# builtin_command = scan m1 @(m1)+-1 @(m1)+1 0.050000
# users = MY
# local_contact = MY
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Sample with lattice params=2*pi
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 6.280000,6.280000,6.280000,90.000000,90.000000,90.000000
# ubmatrix = -0.112597,-0.112597,0.000000,0.000000,0.000000,-0.159236,0.112597,-0.112597,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = m1
# def_y = detector
# col_headers = 
#   Pt.         m1       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    50.9940      1.000  71011.000  73763.000      0.641   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      2    50.9940      1.000  71175.000  73944.000      0.643   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      3    50.9940      1.000  71087.000  73669.000      0.641   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      4    50.9940      1.000  71302.000  73892.000      0.643   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      5    50.9940      1.000  71453.000  73751.000      0.641   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      6    50.9940      1.000  71333.000  74095.000      0.644   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      7    50.9940      1.000  71313.000  74379.000      0.647   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      8    50.9940      0.588  41738.000  43489.000      0.378   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
# Sum of Counts = 540412
# Center of Mass = 50.994000+/-0.098101
# Full Width Half-Maximum = 0.000000+/-0.070088
# 6:49:25 PM  10/22/2003   scan stopped!!
