# scan = 6
# date = 10/22/2003
# time = 6:54:15 PM
# experiment = Alignment and Intensity Checks
# experiment_number = 41
# command = scanrel s2 -2 2 .1
# builtin_command = scan s2 @(s2)+-2 @(s2)+2 0.100000
# users = MY
# local_contact = MY
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Sample with lattice params=2*pi
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 6.280000,6.280000,6.280000,90.000000,90.000000,90.000000
# ubmatrix = -0.112597,-0.112597,0.000000,0.000000,0.000000,-0.159236,0.112597,-0.112597,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = s2
# def_y = detector
# col_headers = 
#   Pt.         s2       time   detector    monitor        mcu         m1         m2         s1        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -2.7274      1.000     41.000  73187.000      0.636    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0518    -0.3603    -0.3602    -8.0316    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      2    -2.6285      1.000     36.000  73749.000      0.641    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0515    -0.3472    -0.3472    -8.0324    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      3    -2.5269      1.000     64.000  73347.000      0.638    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0512    -0.3338    -0.3337    -8.0333    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      4    -2.4280      1.000     97.000  73864.000      0.642    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0510    -0.3207    -0.3207    -8.0341    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      5    -2.3264      1.000    151.000  73754.000      0.641    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0507    -0.3073    -0.3073    -8.0349    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      6    -2.2275      1.000    294.000  73683.000      0.641    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0505    -0.2943    -0.2942    -8.0356    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      7    -2.1286      1.000    438.000  73775.000      0.642    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0502    -0.2812    -0.2812    -8.0363    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      8    -2.0270      1.000    687.000  73604.000      0.640    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0500    -0.2678    -0.2678    -8.0370    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      9    -1.9281      1.000   1061.000  73489.000      0.639    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0498    -0.2547    -0.2547    -8.0376    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     10    -1.8292      1.000   1513.000  73899.000      0.643    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0496    -0.2417    -0.2416    -8.0382    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     11    -1.7276      1.000   2597.000  73747.000      0.641    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0494    -0.2283    -0.2282    -8.0388    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     12    -1.6287      1.000   5529.000  73816.000      0.642    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0492    -0.2152    -0.2152    -8.0394    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     13    -1.5271      1.000  11116.000  73675.000      0.641    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0490    -0.2018    -0.2017    -8.0399    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     14    -1.4282      1.000  19203.000  73765.000      0.641    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0489    -0.1887    -0.1887    -8.0404    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     15    -1.3293      1.000  30117.000  73768.000      0.641    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0487    -0.1757    -0.1756    -8.0408    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     16    -1.2305      1.000  41537.000  73767.000      0.641    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0486    -0.1626    -0.1626    -8.0412    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     17    -1.1261      1.000  51481.000  73765.000      0.641    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0485    -0.1488    -0.1488    -8.0416    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     18    -1.0300      1.000  58951.000  73978.000      0.643    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0483    -0.1361    -0.1361    -8.0420    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     19    -0.9283      1.000  65539.000  73641.000      0.640    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0482    -0.1227    -0.1227    -8.0423    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     20    -0.8267      1.000  70086.000  73811.000      0.642    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.1093    -0.1092    -8.0426    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     21    -0.7278      1.000  72243.000  73976.000      0.643    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     22    -0.6262      1.000  72618.000  73975.000      0.643    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0480    -0.0828    -0.0827    -8.0431    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
