# scan = 8
# date = 10/22/2003
# time = 9:06:13 PM
# experiment = Alignment and Intensity Checks
# experiment_number = 41
# command = scanrel a2 -1.5 1.5 .1
# builtin_command = scan a2 @(a2)+-1.5 @(a2)+1.5 0.100000
# users = MY
# local_contact = MY
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Sample with lattice params=2*pi
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 6.280000,6.280000,6.280000,90.000000,90.000000,90.000000
# ubmatrix = -0.112597,-0.112597,0.000000,0.000000,0.000000,-0.159236,0.112597,-0.112597,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = a2
# def_y = detector
# col_headers = 
#   Pt.         a2       time   detector    monitor        mcu         m1         m2         s1         s2        sgl        sgu        stl        stu         a1          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1     8.5281      1.000     40.000  11641.000      0.101    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000     9.9303    -0.0000    -0.0000    -9.9253    14.7002   328.6468  -313.9466     0.0000     0.0000     0.000
      2     8.6270      1.000     37.000  11668.000      0.101    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000     9.7862    -0.0000    -0.0000    -9.7813    14.7002   321.1703  -306.4702     0.0000     0.0000     0.000
      3     8.7286      1.000     44.000  11619.000      0.101    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000     9.6416    -0.0000    -0.0000    -9.6367    14.7002   313.7494  -299.0493     0.0000     0.0000     0.000
      4     8.8275      1.000     35.000  11619.000      0.101    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000     9.5040    -0.0000    -0.0000    -9.4992    14.7002   306.7737  -292.0735     0.0000     0.0000     0.000
      5     8.9291      1.000     46.000  11535.000      0.100    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000     9.3658    -0.0000    -0.0000    -9.3610    14.7002   299.8443  -285.1442     0.0000     0.0000     0.000
      6     9.0280      1.000     47.000  11614.000      0.101    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000     9.2343    -0.0000    -0.0000    -9.2296    14.7002   293.3256  -278.6254     0.0000     0.0000     0.000
      7     9.1296      1.000     48.000  11657.000      0.101    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000     9.1021    -0.0000    -0.0000    -9.0975    14.7002   286.8453  -272.1451     0.0000     0.0000     0.000
      8     9.2340      1.000     70.000  11663.000      0.101    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     8.9694     0.0004     0.0004    -8.9649    14.7002   280.4113  -265.7111     0.0000     0.0000     0.000
      9     9.3274      1.000     72.000  11601.000      0.101    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000     8.8532    -0.0000    -0.0000    -8.8487    14.7002   274.8366  -260.1365     0.0000     0.0000     0.000
     10     9.4318      1.000     70.000  11828.000      0.103    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000     8.7261    -0.0000    -0.0000    -8.7216    14.7002   268.8011  -254.1009     0.0000     0.0000     0.000
