# scan = 9
# date = 10/22/2003
# time = 9:08:51 PM
# experiment = Alignment and Intensity Checks
# experiment_number = 41
# command = scanrel a2 -2 2 .25
# builtin_command = scan a2 @(a2)+-2 @(a2)+2 0.250000
# users = MY
# local_contact = MY
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Sample with lattice params=2*pi
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 6.280000,6.280000,6.280000,90.000000,90.000000,90.000000
# ubmatrix = -0.112597,-0.112597,0.000000,0.000000,0.000000,-0.159236,0.112597,-0.112597,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = a2
# def_y = detector
# col_headers = 
#   Pt.         a2       time   detector    monitor        mcu         m1         m2         s1         s2        sgl        sgu        stl        stu         a1          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    14.0240      1.000  63894.000  11663.000      0.101    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     5.0070     0.0002     0.0002    -5.0044    14.7002   121.9153  -107.2152     0.0000     0.0000     0.000
      2    14.2657      1.000  73757.000  11562.000      0.101    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     4.8777     0.0002     0.0002    -4.8752    14.7002   117.8397  -103.1395     0.0000     0.0000     0.000
      3    14.5184      1.000  81882.000  11627.000      0.101    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     4.7471     0.0002     0.0002    -4.7447    14.7002   113.7945   -99.0944     0.0000     0.0000     0.000
      4    14.7684      1.000  90934.000  11570.000      0.101    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     4.6223     0.0002     0.0002    -4.6200    14.7002   109.9959   -95.2957     0.0000     0.0000     0.000
      5    15.0183      1.000  99503.000  11613.000      0.101    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     4.5018     0.0002     0.0002    -4.4995    14.7002   106.3853   -91.6851     0.0000     0.0000     0.000
      6    15.2710      1.000 104536.000  11601.000      0.101    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     4.3839     0.0002     0.0002    -4.3817    14.7002   102.9138   -88.2136     0.0000     0.0000     0.000
      7    15.5209      1.000 107862.000  11761.000      0.102    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     4.2711     0.0002     0.0002    -4.2689    14.7002    99.6454   -84.9453     0.0000     0.0000     0.000
      8    15.7709      1.000 109436.000  11761.000      0.102    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     4.1619     0.0002     0.0002    -4.1598    14.7002    96.5313   -81.8311     0.0000     0.0000     0.000
      9    16.0181      1.000 109000.000  11602.000      0.101    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     4.0572     0.0002     0.0002    -4.0551    14.7002    93.5936   -78.8934     0.0000     0.0000     0.000
     10    16.2680      1.000 108450.000  11677.000      0.102    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     3.9546     0.0002     0.0002    -3.9526    14.7002    90.7584   -76.0582     0.0000     0.0000     0.000
     11    16.5179      1.000 107032.000  11597.000      0.101    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     3.8552     0.0002     0.0002    -3.8532    14.7002    88.0509   -73.3507     0.0000     0.0000     0.000
     12    16.7734      1.000 104430.000  11726.000      0.102    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     3.7566     0.0002     0.0002    -3.7547    14.7002    85.4080   -70.7079     0.0000     0.0000     0.000
     13    17.0206      1.000 101599.000  11717.000      0.102    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     3.6640     0.0002     0.0002    -3.6622    14.7002    82.9629   -68.2627     0.0000     0.0000     0.000
     14    17.2733      1.000  97703.000  11550.000      0.100    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     3.5721     0.0002     0.0002    -3.5703    14.7002    80.5711   -65.8709     0.0000     0.0000     0.000
     15    17.5232      1.000  92552.000  11678.000      0.102    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     3.4839     0.0002     0.0002    -3.4821    14.7002    78.3064   -63.6062     0.0000     0.0000     0.000
     16    17.7704      1.000  86024.000  11634.000      0.101    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     3.3990     0.0002     0.0002    -3.3973    14.7002    76.1599   -61.4597     0.0000     0.0000     0.000
     17    18.0203      1.000  78478.000  11735.000      0.102    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     3.3156     0.0002     0.0002    -3.3140    14.7002    74.0787   -59.3786     0.0000     0.0000     0.000
# Sum of Counts = 1617072
# Center of Mass = 16.067427+/-0.017892
# Full Width Half-Maximum = 2.296194+/-0.008360
# 9:09:40 PM  10/22/2003   scan completed.
