# scan = 14
# date = 10/22/2003
# time = 9:17:07 PM
# experiment = Alignment and Intensity Checks
# experiment_number = 41
# command = scan a2 -3.5 4.5 .25
# builtin_command = scan a2 -3.5 4.5 .25
# users = MY
# local_contact = MY
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Sample with lattice params=2*pi
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 6.280000,6.280000,6.280000,90.000000,90.000000,90.000000
# ubmatrix = -0.112597,-0.112597,0.000000,0.000000,0.000000,-0.159236,0.112597,-0.112597,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = a2
# def_y = detector
# col_headers = 
#   Pt.         a2       time   detector    monitor        mcu         m1         m2         s1         s2        sgl        sgu        stl        stu         a1          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -3.5046      1.000   2881.000    541.000      0.005    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000    27.9588    -0.2626    -0.2625   -27.9421    14.7002  1943.0536 -1928.3534     0.0000     0.0000     0.000
      2    -3.2520      1.000   4378.000    522.000      0.005    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000    30.3375    -0.2830    -0.2829   -30.3195    14.7002  2256.6484 -2241.9482     0.0000     0.0000     0.000
      3    -2.9993      1.000   6948.000    561.000      0.005    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000    33.1170    -0.3068    -0.3067   -33.0974    14.7002  2652.8007 -2638.1005     0.0000     0.0000     0.000
      4    -2.7521      1.000   9820.000    563.000      0.005    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000    36.3301    -0.3343    -0.3343   -36.3086    14.7002  3150.6400 -3135.9398     0.0000     0.0000     0.000
      5    -2.4994      1.000  14355.000    538.000      0.005    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000    40.2716    -0.3681    -0.3681   -40.2478    14.7002  3819.7665 -3805.0663     0.0000     0.0000     0.000
      6    -2.2522      1.000  19952.000    551.000      0.005    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000    44.9833    -0.4085    -0.4085   -44.9567    14.7002  4704.1261 -4689.4259     0.0000     0.0000     0.000
      7    -2.0023      1.000  26013.000    524.000      0.005    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000    50.9302    -0.4595    -0.4594   -50.9002    14.7002  5951.6843 -5936.9841     0.0000     0.0000     0.000
      8    -1.7523      1.000  31796.000    548.000      0.005    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000    58.5737    -0.5251    -0.5250   -58.5393    14.7002  7770.3977 -7755.6975     0.0000     0.0000     0.000
      9    -1.4996      1.000  38222.000    491.000      0.004    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000    68.8912    -0.6135    -0.6134   -68.8508    14.7002 10609.3866 -10594.6864     0.0000     0.0000     0.000
     10    -1.2524      1.000  44809.000    520.000      0.005    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000    83.0131    -0.7346    -0.7345   -82.9645    14.7002 15210.3214 -15195.6213     0.0000     0.0000     0.000
     11    -0.9998      1.000  51844.000    514.000      0.004    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000   104.6668    -0.9203    -0.9201  -104.6057    14.7002 23870.3652 -23855.6650     0.0000     0.0000     0.000
     12    -0.7498      1.000  59071.000    548.000      0.005    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000   140.4427    -1.2271    -1.2268  -140.3608    14.7002 42435.7381 -42421.0380     0.0000     0.0000     0.000
