# scan = 22
# date = 10/22/2003
# time = 10:07:27 PM
# experiment = Alignment and Intensity Checks
# experiment_number = 41
# command = scan n=5 
# builtin_command = scan n 5
# users = MY
# local_contact = MY
# scan_title = Ni Powder (3,1,1) (2,2,2) 
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Sample with lattice params=2*pi
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 6.280000,6.280000,6.280000,90.000000,90.000000,90.000000
# ubmatrix = -0.112597,-0.112597,0.000000,0.000000,0.000000,-0.159236,0.112597,-0.112597,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = Pt.
# def_y = detector
# col_headers = 
#   Pt.       time   detector    monitor        mcu         m1         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1      1.000      0.000      0.000      0.000    51.0520   -28.2499     0.0002   110.3106    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0000     6.2982     2.5435     2.5430     5.1663    30.5084    30.5084     0.0000     0.0000     0.0000     0.000
      2      1.000      0.000      0.000      0.000    51.0520   -28.2499     0.0002   110.3106    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0000     6.2982     2.5435     2.5430     5.1663    30.5084    30.5084     0.0000     0.0000     0.0000     0.000
      3      1.000      0.000      0.000      0.000    51.0520   -28.2499     0.0002   110.3106    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0000     6.2982     2.5435     2.5430     5.1663    30.5084    30.5084     0.0000     0.0000     0.0000     0.000
      4      1.000      0.000      0.000      0.000    51.0520   -28.2499     0.0002   110.3106    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0000     6.2982     2.5435     2.5430     5.1663    30.5084    30.5084     0.0000     0.0000     0.0000     0.000
      5      1.000      0.000      0.000      0.000    51.0520   -28.2499     0.0002   110.3106    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0000     6.2982     2.5435     2.5430     5.1663    30.5084    30.5084     0.0000     0.0000     0.0000     0.000
      6      1.000      0.000      0.000      0.000    51.0520   -28.2499     0.0002   110.3106    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0000     6.2982     2.5435     2.5430     5.1663    30.5084    30.5084     0.0000     0.0000     0.0000     0.000
# Sum of Counts = 0
# Center of Mass = NaN+/-NaN
# Full Width Half-Maximum = NaN+/-NaN
# 10:07:33 PM  10/22/2003   scan completed.
