# scan = 25
# date = 10/22/2003
# time = 11:01:12 PM
# experiment = Alignment and Intensity Checks
# experiment_number = 41
# command = scanrel a1 -2 2 .1
# builtin_command = scan a1 @(a1)+-2 @(a1)+2 0.100000
# users = MY
# local_contact = MY
# scan_title = Ni Powder (3,1,1) (2,2,2) 
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Sample with lattice params=2*pi
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 6.280000,6.280000,6.280000,90.000000,90.000000,90.000000
# ubmatrix = -0.112597,-0.112597,0.000000,0.000000,0.000000,-0.159236,0.112597,-0.112597,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = a1
# def_y = detector
# col_headers = 
#   Pt.         a1       time   detector    monitor        mcu         m1         m2         s1         s2        sgl        sgu        stl        stu         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1   -19.7287      1.000      5.000  86066.000      0.748    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
      2   -19.6243      1.000      2.000  85933.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
      3   -19.5282      1.000      2.000  86410.000      0.751    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
      4   -19.4238      1.000      2.000  86212.000      0.750    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
      5   -19.3277      1.000      4.000  85896.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
      6   -19.2288      1.000      6.000  86559.000      0.753    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
      7   -19.1245      1.000      5.000  85829.000      0.746    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
      8   -19.0283      1.000     12.000  86070.000      0.748    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
      9   -18.9267      1.000     17.000  86398.000      0.751    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     10   -18.8278      1.000     21.000  85857.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     11   -18.7234      1.000     32.000  86215.000      0.750    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     12   -18.6246      1.000     32.000  85914.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     13   -18.5284      1.000     70.000  85868.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     14   -18.4241      1.000     98.000  86574.000      0.753    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     15   -18.3279      1.000    124.000  86414.000      0.751    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     16   -18.2263      1.000    145.000  86606.000      0.753    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     17   -18.1274      1.000    190.000  85868.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     18   -18.0286      1.000    207.000  86633.000      0.753    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     19   -17.9242      1.000    253.000  85867.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     20   -17.8281      1.000    269.000  86078.000      0.749    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     21   -17.7237      1.000    243.000  86112.000      0.749    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     22   -17.6276      1.000    286.000  86457.000      0.752    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     23   -17.5259      1.000    246.000  86520.000      0.752    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     24   -17.4271      1.000    205.000  86310.000      0.751    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     25   -17.3254      1.000    208.000  85943.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     26   -17.2266      1.000    134.000  86504.000      0.752    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     27   -17.1277      1.000    117.000  86510.000      0.752    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     28   -17.0288      1.000     74.000  86165.000      0.749    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     29   -16.9272      1.000     47.000  86361.000      0.751    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     30   -16.8256      1.000     34.000  86238.000      0.750    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     31   -16.7239      1.000     30.000  86021.000      0.748    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
     32   -16.6251      1.000     23.000  86415.000      0.751    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2733     1.9860     1.3554     1.3552     0.5164    30.5010    30.4588     0.0421     0.0000     0.0000     0.000
