# scan = 6
# date = 9/5/2017
# time = 1:24:09 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan bbb 34 10 2
# builtin_command = scan bbb 34 10 2
# users = Paula Kelley
# local_contact = 
# scan_title = Co-Alignment on post RT 3 0 0 postion
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = -0.193255,-0.096628,0.000000,-0.000000,0.000000,-0.058824,0.000000,-0.167364,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = UB05Sep2017_10850PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = bbb
# def_y = detector
# col_headers = 
#   Pt.        bbb       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbl        bbr        bbt         s1         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
      1    34.0000      1.000 103555.000  13423.000      5.112    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    30.0000    30.0000    25.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      2    32.0000      1.000 103456.000  13345.000      5.082    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    30.0000    30.0000    25.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      3    30.0000      1.000 103368.000  13567.000      5.166    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    30.0000    30.0000    25.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      4    28.0000      1.000 103625.000  13457.000      5.125    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    30.0000    30.0000    25.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      5    26.0000      1.000 103115.000  13254.000      5.047    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    30.0000    30.0000    25.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      6    24.0000      1.000 103650.000  13418.000      5.110    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    30.0000    30.0000    25.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      7    22.0000      1.000 103674.000  13425.000      5.112    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    30.0000    30.0000    25.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      8    20.0000      1.000 103877.000  13549.000      5.160    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    30.0000    30.0000    25.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      9    18.0000      1.000 104027.000  13658.000      5.201    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    30.0000    30.0000    25.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     10    16.0000      1.000 104033.000  13463.000      5.127    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    30.0000    30.0000    25.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
