# scan = 8
# date = 9/5/2017
# time = 1:25:40 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan bbb 0 -10 2
# builtin_command = scan bbb 0 -10 2
# users = Paula Kelley
# local_contact = 
# scan_title = Co-Alignment on post RT 3 0 0 postion
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = -0.193255,-0.096628,0.000000,-0.000000,0.000000,-0.058824,0.000000,-0.167364,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = UB05Sep2017_10850PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = bbb
# def_y = detector
# col_headers = 
#   Pt.        bbb       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbl        bbr        bbt         s1         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
      1     0.0000      1.000 102704.000  13439.000      5.118    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    30.0000    30.0000    25.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      2    -2.0000      1.000 101411.000  13536.000      5.155    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    30.0000    30.0000    25.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      3    -4.0000      1.000  99685.000  13558.000      5.163    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    30.0000    30.0000    25.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      4    -6.0000      1.000  96939.000  13528.000      5.152    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    30.0000    30.0000    25.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      5    -8.0000      1.000  90684.000  13456.000      5.124    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    30.0000    30.0000    25.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      6   -10.0000      1.000  80365.000  13285.000      5.059    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    30.0000    30.0000    25.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
# Sum of Counts = 571788
# Center of Mass = -4.743573+/-0.009924
# Full Width Half-Maximum = 6.724864+/-0.010902
# 1:25:59 PM  9/5/2017   scan completed.
