# scan = 35
# date = 9/5/2017
# time = 3:19:26 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan s1 28 26 0.3
# builtin_command = scan s1 28 26 0.3
# users = Paula Kelley
# local_contact = 
# scan_title = Co-alignment on post RT 0 0 6 position
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = -0.008953,-0.004477,-0.058760,0.193048,0.096524,-0.002725,0.000000,-0.167364,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = UB05Sep2017_23318PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
      1    28.0001      1.000 133099.000  14022.000      5.340    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    49.1997    -2.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.2286    -0.0735     5.9620    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      2    27.7000      1.000 119572.000  13951.000      5.313    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    49.1997    -2.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.2191    -0.0735     5.9652    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      3    27.4000      1.000  58896.000  13668.000      5.205    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    49.1997    -2.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.2096    -0.0735     5.9683    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      4    27.1000      1.000  29439.000  13780.000      5.248    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    49.1997    -2.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.2001    -0.0735     5.9711    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      5    26.8000      1.000  16746.000  13649.000      5.198    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    49.1997    -2.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.1906    -0.0735     5.9739    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      6    26.5000      1.000  11154.000  13582.000      5.172    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    49.1997    -2.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.1811    -0.0735     5.9764    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      7    26.2000      1.000   8265.000  13739.000      5.232    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    49.1997    -2.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.1716    -0.0736     5.9788    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
# Sum of Counts = 377171
# Center of Mass = 27.603909+/-0.063569
# Full Width Half-Maximum = 0.877616+/-0.047036
# 3:19:43 PM  9/5/2017   scan completed.
