# scan = 37
# date = 9/5/2017
# time = 3:22:44 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan sgl -10 10 1
# builtin_command = scan sgl -10 10 1
# users = Paula Kelley
# local_contact = 
# scan_title = Co-alignment on post RT 0 0 6 position
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = -0.008953,-0.004477,-0.058760,0.193048,0.096524,-0.002725,0.000000,-0.167364,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = UB05Sep2017_23318PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = sgl
# def_y = detector
# col_headers = 
#   Pt.        sgl       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
      1   -10.0000      1.000    405.000  13542.000      5.157    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.2003    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.3797    -0.3654     5.8725    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      2    -8.9995      1.000    699.000  13425.000      5.112    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.2003    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.3618    -0.3292     5.8898    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      3    -7.9995      1.000   4775.000  13807.000      5.258    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.2003    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.3439    -0.2928     5.9052    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      4    -6.9995      1.000  24097.000  13808.000      5.258    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.2003    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.3259    -0.2564     5.9188    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      5    -5.9995      1.000  46451.000  13815.000      5.261    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.2003    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.3078    -0.2199     5.9306    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      6    -4.9995      1.000  70965.000  13758.000      5.239    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.2003    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.2897    -0.1834     5.9406    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      7    -3.9995      1.000  88012.000  13837.000      5.269    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.2003    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.2715    -0.1468     5.9488    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      8    -2.9995      1.000 104416.000  13770.000      5.244    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.2003    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.2532    -0.1101     5.9552    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      9    -1.9995      1.000 113931.000  13708.000      5.220    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.2003    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.2350    -0.0734     5.9597    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     10    -0.9995      1.000 117152.000  13698.000      5.216    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.2003    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.2166    -0.0367     5.9625    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
