# scan = 45
# date = 9/5/2017
# time = 3:42:02 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan sgu -5 10 1
# builtin_command = scan sgu -5 10 1
# users = Paula Kelley
# local_contact = 
# scan_title = Co-alignment on post RT 3 0 0 position
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = 0.011053,0.002606,-0.058718,0.192939,0.096469,0.003365,-0.000193,-0.167435,0.001025
# mode = 0
# plane_normal = 0.017452,-0.000000,0.999848
# ubconf = UB05Sep2017_32726PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = sgu
# def_y = detector
# col_headers = 
#   Pt.        sgu       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgl        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
      1    -5.0000      1.000    197.000  13641.000      5.195    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   134.5002    86.3046    -1.0000    -0.0010     0.0000   159.4104   -41.1799     3.6428     3.1376    -0.3018     0.3468    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      2    -3.9995      1.000    208.000  13801.000      5.256    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   134.5002    86.3046    -1.0000    -0.0010     0.0000   159.4104   -41.1799     3.6428     3.1116    -0.2415     0.3445    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      3    -2.9995      1.000   2400.000  13579.000      5.171    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   134.5002    86.3046    -1.0000    -0.0010     0.0000   159.4104   -41.1799     3.6428     3.0847    -0.1812     0.3421    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      4    -1.9995      1.000  43971.000  13720.000      5.225    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   134.5002    86.3046    -1.0000    -0.0010     0.0000   159.4104   -41.1799     3.6428     3.0568    -0.1208     0.3396    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      5    -0.9995      1.000  94580.000  13842.000      5.271    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   134.5002    86.3046    -1.0000    -0.0010     0.0000   159.4104   -41.1799     3.6428     3.0280    -0.0604     0.3368    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      6     0.0005      1.000 119264.000  13621.000      5.187    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   134.5002    86.3046    -1.0000    -0.0010     0.0000   159.4104   -41.1799     3.6428     2.9983     0.0000     0.3339    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      7     1.0005      1.000 129110.000  13738.000      5.232    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   134.5002    86.3046    -1.0000    -0.0010     0.0000   159.4104   -41.1799     3.6428     2.9676     0.0605     0.3308    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      8     2.0005      1.000 129735.000  13747.000      5.235    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   134.5002    86.3046    -1.0000    -0.0010     0.0000   159.4104   -41.1799     3.6428     2.9361     0.1209     0.3276    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      9     3.0005      1.000 123265.000  13633.000      5.192    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   134.5002    86.3046    -1.0000    -0.0010     0.0000   159.4104   -41.1799     3.6428     2.9037     0.1812     0.3241    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     10     4.0005      1.000 106958.000  13952.000      5.313    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   134.5002    86.3046    -1.0000    -0.0010     0.0000   159.4104   -41.1799     3.6428     2.8703     0.2416     0.3205    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
