# scan = 50
# date = 9/5/2017
# time = 3:58:10 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan sgl -10 10 1
# builtin_command = scan sgl -10 10 1
# users = Paula Kelley
# local_contact = 
# scan_title = Co-alignment Zeus and Atlas on post RT 0 0 6 position
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = 0.006534,0.003269,-0.058790,0.193145,0.096572,0.001989,0.000000,-0.167364,-0.000001
# mode = 0
# plane_normal = -0.000009,0.000000,1.000000
# ubconf = UB05Sep2017_35319PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = sgl
# def_y = detector
# col_headers = 
#   Pt.        sgl       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
      1   -10.0000      1.000    423.000  13443.000      5.119    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    27.0003    49.2058     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2174     0.1979    -0.3659     5.9084    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      2    -8.9995      1.000   1608.000  13473.000      5.131    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    27.0003    49.2058     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2174     0.1795    -0.3296     5.9256    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      3    -7.9995      1.000  16165.000  13590.000      5.175    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    27.0003    49.2058     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2174     0.1612    -0.2932     5.9411    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      4    -6.9995      1.000  47565.000  13513.000      5.146    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    27.0003    49.2058     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2174     0.1428    -0.2568     5.9547    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      5    -5.9995      1.000  69401.000  13744.000      5.234    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    27.0003    49.2058     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2174     0.1244    -0.2202     5.9666    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      6    -4.9995      1.000  88381.000  13861.000      5.278    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    27.0003    49.2058     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2174     0.1060    -0.1836     5.9766    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      7    -3.9995      1.000 109599.000  13788.000      5.251    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    27.0003    49.2058     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2174     0.0876    -0.1470     5.9848    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      8    -2.9995      1.000 122620.000  13839.000      5.270    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    27.0003    49.2058     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2174     0.0692    -0.1103     5.9912    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      9    -1.9995      1.000 127629.000  13701.000      5.217    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    27.0003    49.2058     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2174     0.0508    -0.0735     5.9957    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     10    -0.9995      1.000 127894.000  13743.000      5.233    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    27.0003    49.2058     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2174     0.0324    -0.0368     5.9985    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
