# scan = 58
# date = 9/5/2017
# time = 9:28:06 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scanrel s1 2 -2 0.2
# builtin_command = scan s1 @(s1)+2 @(s1)+-2 0.200000
# users = Paula Kelley
# local_contact = 
# scan_title = CCR RT alignment check
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = 0.006534,0.003269,-0.058790,0.193145,0.096572,0.001989,0.000000,-0.167364,-0.000001
# mode = 0
# plane_normal = -0.000009,0.000000,1.000000
# ubconf = UB05Sep2017_35319PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
      1    29.0005      1.000  33354.000  14043.000      5.348    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    49.2131     0.0005     0.0000    -0.0010    -0.0010   159.4104   -41.1799     2.2177     0.0776     0.0000     5.9950    14.7005    14.6907     0.0098   295.8240   296.7120     1.000
      2    28.8004      1.000  34665.000  13947.000      5.311    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    49.2131     0.0005     0.0000    -0.0010    -0.0010   159.4104   -41.1799     2.2177     0.0712     0.0000     5.9958    14.7005    14.6907     0.0098   295.8240   296.7080     1.000
      3    28.6002      1.000  29065.000  14191.000      5.404    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    49.2131     0.0005     0.0000    -0.0010    -0.0010   159.4104   -41.1799     2.2177     0.0649     0.0000     5.9966    14.7005    14.6907     0.0098   295.8230   296.7070     1.000
      4    28.4002      1.000  26957.000  14147.000      5.387    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    49.2131     0.0005     0.0000    -0.0010    -0.0010   159.4104   -41.1799     2.2177     0.0585     0.0000     5.9973    14.7005    14.6907     0.0098   295.8230   296.7190     1.000
      5    28.2003      1.000  28294.000  14116.000      5.375    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    49.2131     0.0005     0.0000    -0.0010    -0.0010   159.4104   -41.1799     2.2177     0.0521     0.0000     5.9979    14.7005    14.6907     0.0098   295.8220   296.6900     1.000
      6    28.0003      1.000  31202.000  14250.000      5.427    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    49.2131     0.0005     0.0000    -0.0010    -0.0010   159.4104   -41.1799     2.2177     0.0457     0.0000     5.9985    14.7005    14.6907     0.0098   295.8220   296.6920     1.000
      7    27.8003      1.000  36455.000  14026.000      5.341    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    49.2131     0.0005     0.0000    -0.0010    -0.0010   159.4104   -41.1799     2.2177     0.0394     0.0000     5.9990    14.7005    14.6907     0.0098   295.8210   296.6830     1.000
      8    27.6002      1.000  50064.000  14081.000      5.362    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    49.2131     0.0005     0.0000    -0.0010    -0.0010   159.4104   -41.1799     2.2177     0.0330     0.0000     5.9994    14.7005    14.6907     0.0098   295.8230   296.7160     1.000
      9    27.4002      1.000  72764.000  14280.000      5.438    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    49.2131     0.0005     0.0000    -0.0010    -0.0010   159.4104   -41.1799     2.2177     0.0266     0.0000     5.9998    14.7005    14.6907     0.0098   295.8230   296.7240     1.000
     10    27.2003      1.000  92325.000  14306.000      5.448    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    49.2131     0.0005     0.0000    -0.0010    -0.0010   159.4104   -41.1799     2.2177     0.0202     0.0000     6.0000    14.7005    14.6907     0.0098   295.8230   296.7240     1.000
