# scan = 61
# date = 9/5/2017
# time = 9:56:43 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scanrel s1 2 -2 0.2
# builtin_command = scan s1 @(s1)+2 @(s1)+-2 0.200000
# users = Paula Kelley
# local_contact = 
# scan_title = CCR RT alignment check
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = 0.007997,-0.001843,-0.058737,0.192379,0.110766,0.002248,0.016549,-0.158351,0.002256
# mode = 0
# plane_normal = 0.034894,-0.087080,0.995426
# ubconf = UB05Sep2017_95616PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
      1   136.5004      1.000  19254.000  14306.000      5.448    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    86.3034    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6427     2.9996    -0.0000    -0.1661    14.7005    14.6907     0.0098   248.8090   272.4650     1.000
      2   136.3001      1.000  28301.000  14123.000      5.378    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    86.3034    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6427     2.9997    -0.0000    -0.1316    14.7005    14.6907     0.0098   248.7060   272.3680     1.000
      3   136.1000      1.000  49047.000  14156.000      5.391    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    86.3034    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6427     2.9998    -0.0000    -0.0972    14.7005    14.6907     0.0098   248.5990   272.2620     1.000
      4   135.9001      1.000  70634.000  14073.000      5.359    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    86.3034    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6427     2.9999    -0.0000    -0.0628    14.7005    14.6907     0.0098   248.4940   272.1780     1.000
      5   135.7001      1.000  94059.000  14158.000      5.391    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    86.3034    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6427     3.0000    -0.0000    -0.0284    14.7005    14.6907     0.0098   248.3870   272.0730     1.000
      6   135.5001      1.000 105937.000  14419.000      5.491    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    86.3034    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6427     3.0000    -0.0000     0.0060    14.7005    14.6907     0.0098   248.2860   272.0260     1.000
      7   135.3001      1.000  92605.000  14302.000      5.446    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    86.3034    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6427     3.0000    -0.0000     0.0404    14.7005    14.6907     0.0098   248.1840   271.9310     1.000
      8   135.1001      1.000  58898.000  14381.000      5.476    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    86.3034    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6427     2.9999    -0.0000     0.0748    14.7005    14.6907     0.0098   248.0820   271.8470     1.000
      9   134.9001      1.000  33575.000  14037.000      5.345    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    86.3034    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6427     2.9998    -0.0000     0.1092    14.7005    14.6907     0.0098   247.9790   271.7500     1.000
     10   134.7001      1.000  24894.000  14209.000      5.411    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    86.3034    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6427     2.9997    -0.0000     0.1436    14.7005    14.6907     0.0098   247.8780   271.6880     1.000
