# scan = 69
# date = 9/5/2017
# time = 10:44:36 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan bab 38 -10 2
# builtin_command = scan bab 38 -10 2
# users = Paula Kelley
# local_contact = 
# scan_title = slit scans while cooling
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = 0.007997,-0.001843,-0.058737,0.192379,0.110766,0.002248,0.016549,-0.158351,0.002256
# mode = 0
# plane_normal = 0.034900,-0.087094,0.995588
# ubconf = UB05Sep2017_95742PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = bab
# def_y = detector
# col_headers = 
#   Pt.        bab       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
      1    38.0000      1.000  90416.000  14073.000      5.359    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    94.6760   130.8230     1.000
      2    36.0000      1.000 104865.000  14139.000      5.384    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    94.4510   130.5500     1.000
      3    34.0000      1.000 105927.000  14049.000      5.350    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    94.2280   130.3250     1.000
      4    32.0000      1.000 109551.000  14152.000      5.389    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    94.0070   130.0950     1.000
      5    30.0000      1.000 109857.000  14155.000      5.390    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    93.7820   129.8750     1.000
      6    28.0000      1.000 110252.000  14161.000      5.393    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    93.5540   129.6510     1.000
      7    26.0000      1.000 110058.000  14143.000      5.386    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    93.3370   129.4540     1.000
      8    24.0000      1.000 110567.000  14046.000      5.349    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    93.1090   129.2410     1.000
      9    22.0000      1.000 110324.000  13954.000      5.314    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    92.8840   128.9920     1.000
     10    20.0000      1.000 110745.000  14110.000      5.373    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    92.6550   128.7620     1.000
     11    18.0000      1.000 109278.000  13939.000      5.308    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    92.4260   128.5370     1.000
     12    16.0000      1.000 107418.000  13969.000      5.319    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    92.1990   128.3160     1.000
     13    14.0000      1.000 103543.000  13902.000      5.294    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    91.9700   128.1060     1.000
     14    12.0000      1.000  99373.000  14150.000      5.388    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    91.7410   127.8910     1.000
     15    10.0000      1.000  94487.000  13904.000      5.295    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    91.5080   127.6530     1.000
     16     8.0000      1.000  88718.000  14271.000      5.435    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    91.2780   127.4460     1.000
     17     6.0000      1.000  82221.000  14081.000      5.362    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    91.0540   127.2250     1.000
     18     4.0000      1.000  75352.000  14175.000      5.398    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    90.8300   127.0200     1.000
     19     2.0000      1.000  69285.000  14060.000      5.354    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    90.6040   126.8020     1.000
     20     0.0000      1.000  64148.000  13979.000      5.323    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    90.3810   126.5740     1.000
     21    -2.0000      1.000  58488.000  13951.000      5.313    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    90.1550   126.3590     1.000
     22    -4.0000      1.000  50939.000  14030.000      5.343    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    89.9240   126.1540     1.000
     23    -6.0000      1.000  40799.000  13832.000      5.267    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    89.7040   125.9580     1.000
     24    -8.0000      1.000  29239.000  13895.000      5.291    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    89.4740   125.6880     1.000
     25   -10.0000      1.000  18640.000  13898.000      5.292    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    30.0000    30.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    89.2430   125.4760     1.000
# Sum of Counts = 2164490
# Center of Mass = 17.920091+/-0.019275
# Full Width Half-Maximum = 25.448197+/-0.016832
# 10:46:08 PM  9/5/2017   scan completed.
