# scan = 71
# date = 9/5/2017
# time = 10:48:16 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan bar 20 0 2
# builtin_command = scan bar 20 0 2
# users = Paula Kelley
# local_contact = 
# scan_title = slit scans while cooling
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = 0.007997,-0.001843,-0.058737,0.192379,0.110766,0.002248,0.016549,-0.158351,0.002256
# mode = 0
# plane_normal = 0.034900,-0.087094,0.995588
# ubconf = UB05Sep2017_95742PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = bar
# def_y = detector
# col_headers = 
#   Pt.        bar       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bat        bbb        bbl        bbr        bbt         s1         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
      1    20.0000      1.000 118070.000  14199.000      5.407    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    80.6130   117.1250     1.000
      2    18.0000      1.000 118324.000  14063.000      5.355    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    80.3810   116.8990     1.000
      3    16.0000      1.000 118546.000  14097.000      5.368    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    80.1440   116.6370     1.000
      4    14.0000      1.000 118720.000  14026.000      5.341    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    79.8990   116.2860     1.000
      5    12.0000      1.000 118511.000  14159.000      5.392    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    79.6620   116.1020     1.000
      6    10.0000      1.000 119062.000  14029.000      5.342    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    79.4230   115.8460     1.000
      7     8.0000      1.000 118776.000  14120.000      5.377    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    79.1690   115.5140     1.000
      8     6.0000      1.000 118610.000  14108.000      5.372    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    78.9220   115.2410     1.000
      9     4.0000      1.000 118888.000  14094.000      5.367    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    78.6810   115.0110     1.000
     10     2.0000      1.000 118180.000  14089.000      5.365    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    78.4330   114.7360     1.000
     11     0.0000      1.000 117619.000  14150.000      5.388    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    78.1900   114.4850     1.000
# Sum of Counts = 1303306
# Center of Mass = 10.002701+/-0.013570
# Full Width Half-Maximum = 12.632960+/-0.012328
# 10:49:05 PM  9/5/2017   scan completed.
