# scan = 72
# date = 9/5/2017
# time = 10:49:20 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan bar 0 -10 2
# builtin_command = scan bar 0 -10 2
# users = Paula Kelley
# local_contact = 
# scan_title = slit scans while cooling
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = 0.007997,-0.001843,-0.058737,0.192379,0.110766,0.002248,0.016549,-0.158351,0.002256
# mode = 0
# plane_normal = 0.034900,-0.087094,0.995588
# ubconf = UB05Sep2017_95742PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = bar
# def_y = detector
# col_headers = 
#   Pt.        bar       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bat        bbb        bbl        bbr        bbt         s1         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
      1     0.0000      1.000 117262.000  13941.000      5.309    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    77.1510   113.6390     1.000
      2    -2.0000      1.000 111173.000  14204.000      5.409    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    76.9170   113.4520     1.000
      3    -4.0000      1.000  92358.000  13981.000      5.324    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    76.6850   113.2370     1.000
      4    -6.0000      1.000  55440.000  14073.000      5.359    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    76.4670   113.1580     1.000
      5    -8.0000      1.000  18771.000  14207.000      5.410    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    76.2340   112.9200     1.000
      6   -10.0000      1.000   2357.000  13970.000      5.320    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.9740    49.2005    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0006     0.0000     5.9989    14.7002    14.6907     0.0095    76.0050   112.6750     1.000
# Sum of Counts = 397361
# Center of Mass = -2.763623+/-0.007290
# Full Width Half-Maximum = 4.833038+/-0.009481
# 10:49:40 PM  9/5/2017   scan completed.
