# scan = 74
# date = 9/5/2017
# time = 10:53:03 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan sgl -10 10 1
# builtin_command = scan sgl -10 10 1
# users = Paula Kelley
# local_contact = 
# scan_title = alignment while cooling 0 0 6 peak
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = 0.007997,-0.001843,-0.058737,0.192379,0.110766,0.002248,0.016549,-0.158351,0.002256
# mode = 0
# plane_normal = 0.034900,-0.087094,0.995588
# ubconf = UB05Sep2017_95742PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = sgl
# def_y = detector
# col_headers = 
#   Pt.        sgl       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
      1   -10.0000      1.000  13645.000  13917.000      5.300    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8003    49.2005    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172     0.1412    -0.2932     5.9406    14.7002    14.6907     0.0095    61.8720    98.4290     1.000
      2    -8.9995      1.000  50502.000  13938.000      5.308    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8003    49.2005    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172     0.1228    -0.2567     5.9542    14.7002    14.6907     0.0095    61.6240    98.1790     1.000
      3    -7.9995      1.000  74897.000  14178.000      5.399    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8003    49.2005    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172     0.1044    -0.2202     5.9661    14.7002    14.6907     0.0095    61.3560    97.9130     1.000
      4    -6.9995      1.000  90463.000  14064.000      5.356    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8003    49.2005    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172     0.0859    -0.1836     5.9761    14.7002    14.6907     0.0095    61.0750    97.6480     1.000
      5    -5.9995      1.000 100787.000  14021.000      5.339    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8003    49.2005    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172     0.0675    -0.1470     5.9843    14.7002    14.6907     0.0095    60.7830    97.3750     1.000
      6    -4.9995      1.000 110919.000  14011.000      5.335    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8003    49.2005    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172     0.0491    -0.1102     5.9907    14.7002    14.6907     0.0095    60.4980    97.1090     1.000
      7    -3.9995      1.000 117891.000  14106.000      5.372    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8003    49.2005    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172     0.0306    -0.0735     5.9952    14.7002    14.6907     0.0095    60.2110    96.8430     1.000
      8    -2.9995      1.000 121096.000  14054.000      5.352    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8003    49.2005    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172     0.0122    -0.0368     5.9980    14.7002    14.6907     0.0095    59.9260    96.5440     1.000
      9    -1.9995      1.000 122022.000  14261.000      5.431    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8003    49.2005    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0062     0.0000     5.9989    14.7002    14.6907     0.0095    59.6530    96.2730     1.000
     10    -0.9995      1.000 118166.000  13995.000      5.329    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8003    49.2005    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0245     0.0368     5.9980    14.7002    14.6907     0.0095    59.4010    96.0000     1.000
