# scan = 76
# date = 9/5/2017
# time = 10:59:05 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan bar 20 0 2
# builtin_command = scan bar 20 0 2
# users = Paula Kelley
# local_contact = 
# scan_title = slit scans on 3 0 0 peak
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,16.960200,90.000000,90.000000,120.000000
# ubmatrix = 0.007322,-0.002180,-0.058883,0.192404,0.110778,0.002048,0.016575,-0.158338,0.002243
# mode = 0
# plane_normal = 0.034899,-0.087094,0.995584
# ubconf = UB05Sep2017_105727PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = bar
# def_y = detector
# col_headers = 
#   Pt.        bar       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bat        bbb        bbl        bbr        bbt         s1         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
      1    20.0000      1.000 101047.000  14220.000      5.415    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.3168    86.3044    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0000     0.0000     0.0031    14.7002    14.6907     0.0095    35.3870    67.7770     1.000
      2    18.0000      1.000 100684.000  13789.000      5.251    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.3168    86.3044    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0000     0.0000     0.0031    14.7002    14.6907     0.0095    35.1590    67.4280     1.000
      3    16.0000      1.000 100868.000  14064.000      5.356    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.3168    86.3044    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0000     0.0000     0.0031    14.7002    14.6907     0.0095    34.9170    67.0180     1.000
      4    14.0000      1.000 100529.000  13882.000      5.286    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.3168    86.3044    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0000     0.0000     0.0031    14.7002    14.6907     0.0095    34.6500    66.6580     1.000
      5    12.0000      1.000 100760.000  13955.000      5.314    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.3168    86.3044    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0000     0.0000     0.0031    14.7002    14.6907     0.0095    34.3910    66.2840     1.000
      6    10.0000      1.000 100714.000  13981.000      5.324    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.3168    86.3044    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0000     0.0000     0.0031    14.7002    14.6907     0.0095    34.3160    65.9520     1.000
      7     8.0000      1.000 100575.000  14197.000      5.406    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.3168    86.3044    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0000     0.0000     0.0031    14.7002    14.6907     0.0095    34.1470    65.6010     1.000
      8     6.0000      1.000  99991.000  13861.000      5.278    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.3168    86.3044    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0000     0.0000     0.0031    14.7002    14.6907     0.0095    33.8300    65.2290     1.000
      9     4.0000      1.000  98362.000  13919.000      5.300    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.3168    86.3044    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0000     0.0000     0.0031    14.7002    14.6907     0.0095    33.5710    64.8570     1.000
     10     2.0000      1.000  92475.000  14131.000      5.381    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.3168    86.3044    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0000     0.0000     0.0031    14.7002    14.6907     0.0095    33.3200    64.4840     1.000
     11     0.0000      1.000  77881.000  13755.000      5.238    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.3168    86.3044    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0000     0.0000     0.0031    14.7002    14.6907     0.0095    33.1430    64.0980     1.000
# Sum of Counts = 1073886
# Center of Mass = 10.293225+/-0.015270
# Full Width Half-Maximum = 12.410270+/-0.013528
# 10:59:54 PM  9/5/2017   scan completed.
