# scan = 77
# date = 9/5/2017
# time = 11:00:52 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan bal 30 0 2
# builtin_command = scan bal 30 0 2
# users = Paula Kelley
# local_contact = 
# scan_title = slit scans on 3 0 0 peak
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,16.960200,90.000000,90.000000,120.000000
# ubmatrix = 0.007322,-0.002180,-0.058883,0.192404,0.110778,0.002048,0.016575,-0.158338,0.002243
# mode = 0
# plane_normal = 0.034899,-0.087094,0.995584
# ubconf = UB05Sep2017_105727PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = bal
# def_y = detector
# col_headers = 
#   Pt.        bal       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
      1    30.0000      1.000 100738.000  13986.000      5.326    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000     8.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.3168    86.3044    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0000     0.0000     0.0031    14.7002    14.6907     0.0095    26.4770    55.7420     1.000
      2    28.0000      1.000 100208.000  13658.000      5.201    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000     8.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.3168    86.3044    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0000     0.0000     0.0031    14.7002    14.6907     0.0095    26.0640    55.2940     1.000
      3    26.0000      1.000 100835.000  13986.000      5.326    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000     8.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.3168    86.3044    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0000     0.0000     0.0031    14.7002    14.6907     0.0095    25.7060    54.8200     1.000
      4    24.0000      1.000 100757.000  13824.000      5.264    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000     8.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.3168    86.3044    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0000     0.0000     0.0031    14.7002    14.6907     0.0095    25.3880    54.3580     1.000
      5    22.0000      1.000 100799.000  14147.000      5.387    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000     8.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.3168    86.3044    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0000     0.0000     0.0031    14.7002    14.6907     0.0095    25.1610    53.8850     1.000
      6    20.0000      1.000 100495.000  14041.000      5.347    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000     8.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.3168    86.3044    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0000     0.0000     0.0031    14.7002    14.6907     0.0095    24.9370    53.4070     1.000
      7    18.0000      1.000 100568.000  14148.000      5.388    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000     8.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.3168    86.3044    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0000     0.0000     0.0031    14.7002    14.6907     0.0095    24.6090    52.9190     1.000
      8    16.0000      1.000 100323.000  14166.000      5.395    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000     8.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.3168    86.3044    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0000     0.0000     0.0031    14.7002    14.6907     0.0095    24.3670    52.4320     1.000
      9    14.0000      1.000 100712.000  14049.000      5.350    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000     8.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.3168    86.3044    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0000     0.0000     0.0031    14.7002    14.6907     0.0095    24.1510    51.9270     1.000
     10    12.0000      1.000 100935.000  13911.000      5.297    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000     8.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.3168    86.3044    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0000     0.0000     0.0031    14.7002    14.6907     0.0095    23.9610    51.4410     1.000
