# scan = 80
# date = 9/5/2017
# time = 11:08:36 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan sgu -10 10 1
# builtin_command = scan sgu -10 10 1
# users = Paula Kelley
# local_contact = 
# scan_title = alignment while cooling on 3 0 0 peak
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,16.960200,90.000000,90.000000,120.000000
# ubmatrix = 0.007322,-0.002180,-0.058883,0.192404,0.110778,0.002048,0.016575,-0.158338,0.002243
# mode = 0
# plane_normal = 0.034899,-0.087094,0.995584
# ubconf = UB05Sep2017_105727PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = sgu
# def_y = detector
# col_headers = 
#   Pt.        sgu       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgl        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
      1    -9.9990      1.000 108145.000  13927.000      5.304    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.5005    86.3044    -2.0000    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.1393    -0.3015     0.0000    14.7002    14.6907     0.0095     7.7681     8.3603     1.000
      2    -8.9995      1.000 110625.000  13986.000      5.326    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.5005    86.3044    -2.0000    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.1134    -0.2413    -0.0054    14.7002    14.6907     0.0095     7.6805     8.3223     1.000
      3    -7.9995      1.000 108360.000  14052.000      5.351    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.5005    86.3044    -2.0000    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0864    -0.1810    -0.0110    14.7002    14.6907     0.0095     7.4204     8.2558     1.000
      4    -6.9995      1.000  95418.000  13951.000      5.313    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.5005    86.3044    -2.0000    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0585    -0.1207    -0.0167    14.7002    14.6907     0.0095     7.0985     8.1367     1.000
      5    -5.9995      1.000  73889.000  14088.000      5.365    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.5005    86.3044    -2.0000    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0297    -0.0604    -0.0225    14.7002    14.6907     0.0095     6.8729     7.9376     1.000
      6    -4.9995      1.000  47079.000  13965.000      5.318    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.5005    86.3044    -2.0000    -0.0010    -0.0010   159.4104   -41.1799     3.6428     3.0000     0.0000    -0.0284    14.7002    14.6907     0.0095     6.7938     7.7247     1.000
      7    -3.9995      1.000  14707.000  13920.000      5.301    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.5005    86.3044    -2.0000    -0.0010    -0.0010   159.4104   -41.1799     3.6428     2.9693     0.0604    -0.0345    14.7002    14.6907     0.0095     6.7431     7.5645     1.000
      8    -2.9995      1.000   6855.000  13894.000      5.291    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.5005    86.3044    -2.0000    -0.0010    -0.0010   159.4104   -41.1799     3.6428     2.9378     0.1207    -0.0406    14.7002    14.6907     0.0095     6.6731     7.4301     1.000
      9    -1.9995      1.000   2907.000  13817.000      5.262    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.5005    86.3044    -2.0000    -0.0010    -0.0010   159.4104   -41.1799     3.6428     2.9053     0.1810    -0.0469    14.7002    14.6907     0.0095     6.8185     7.3402     1.000
     10    -0.9995      1.000    148.000  13953.000      5.313    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   135.5005    86.3044    -2.0000    -0.0010    -0.0010   159.4104   -41.1799     3.6428     2.8720     0.2413    -0.0533    14.7002    14.6907     0.0095     6.7919     7.3054     1.000
