# scan = 83
# date = 9/5/2017
# time = 11:18:17 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan h 0.55 0.45 0.01 k 0 l 1 e 0
# builtin_command = scan h 0.55 0.45 0.01 k 0 l 1 e 0
# users = Paula Kelley
# local_contact = 
# scan_title = check (1/2 0 1) peak T=5.8K
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.166730,5.166730,16.945400,90.000000,90.000000,120.000000
# ubmatrix = 0.008357,-0.002576,-0.058936,0.221199,0.137518,0.001900,0.030791,-0.176151,0.002345
# mode = 0
# plane_normal = 0.034899,-0.139079,0.989661
# ubconf = UB05Sep2017_111606PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 10.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l          e       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef   cold_tip    tsample       temp
      1     0.5500     0.0000     1.0028     0.0095     10.000   1046.000 139073.000     52.960    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    75.7536    18.5219    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.8571    14.7002    14.6907     5.6946     5.9661     1.000
      2     0.5396     0.0000     1.0018     0.0095     10.000    995.000 139401.000     53.085    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    75.2031    18.2328    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.8439    14.7002    14.6907     5.3221     5.9115     1.000
      3     0.5297     0.0000     1.0019     0.0095     10.000    954.000 138896.000     52.893    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    74.6411    17.9603    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.8314    14.7002    14.6907     5.1744     5.6489     1.000
      4     0.5197     0.0000     1.0020     0.0095     10.000    980.000 139151.000     52.990    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    74.0666    17.6885    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.8189    14.7002    14.6907     5.1207     5.5481     1.000
      5     0.5096     0.0000     1.0017     0.0095     10.000   1031.000 139055.000     52.953    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    73.4786    17.4129    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.8062    14.7002    14.6907     5.0955     5.4863     1.000
      6     0.4997     0.0000     1.0020     0.0095     10.000    953.000 138957.000     52.916    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    72.8774    17.1460    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.7940    14.7002    14.6907     5.0482     5.4346     1.000
      7     0.4897     0.0000     1.0020     0.0095     10.000    977.000 139028.000     52.943    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    72.2620    16.8763    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.7816    14.7002    14.6907     5.0643     5.4227     1.000
      8     0.4796     0.0000     1.0017     0.0095     10.000    978.000 139460.000     53.107    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    71.6319    16.6046    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.7691    14.7002    14.6907     5.0330     5.3919     1.000
      9     0.4696     0.0000     1.0018     0.0095     10.000   1079.000 139507.000     53.125    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    70.9865    16.3389    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.7569    14.7002    14.6907     5.0716     5.4040     1.000
     10     0.4597     0.0000     1.0020     0.0095     10.000   1208.000 139024.000     52.941    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    70.3245    16.0761    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.7448    14.7002    14.6907     5.0159     5.3976     1.000
     11     0.4496     0.0000     1.0016     0.0095     10.000   1423.000 138745.000     52.835    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    69.6459    15.8082    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.7324    14.7002    14.6907     5.0244     5.3825     1.000
# Sum of Counts = 11624
# Center of Mass = 0.497052+/-0.006527
# Full Width Half-Maximum = 0.065521+/-0.004131
# 11:20:30 PM  9/5/2017   scan completed.
