# scan = 84
# date = 9/5/2017
# time = 11:23:33 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan h -0.45 -0.55 0.01 k 0 l 1 e 0
# builtin_command = scan h -0.45 -0.55 0.01 k 0 l 1 e 0
# users = Paula Kelley
# local_contact = 
# scan_title = check (-1/2 0 1) peak T=5.4K
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.166730,5.166730,16.945400,90.000000,90.000000,120.000000
# ubmatrix = 0.008357,-0.002576,-0.058936,0.221199,0.137518,0.001900,0.030791,-0.176151,0.002345
# mode = 0
# plane_normal = 0.034899,-0.139079,0.989661
# ubconf = UB05Sep2017_111606PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 30.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l          e       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef   cold_tip    tsample       temp
      1    -0.4506    -0.0000     0.9984     0.0095     30.000   4060.000 416298.000     29.877    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   -49.5465    15.8214    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.7330    14.7002    14.6907     5.2675     5.6087     1.000
      2    -0.4607    -0.0000     0.9986     0.0095     30.000   3384.000 418173.000     30.012    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   -49.9612    16.0897    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.7454    14.7002    14.6907     5.1568     5.5481     1.000
      3    -0.4708    -0.0000     0.9986     0.0095     30.000   3268.000 415202.000     29.799    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   -50.3576    16.3572    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.7577    14.7002    14.6907     5.0214     5.4441     1.000
      4    -0.4807    -0.0000     0.9985     0.0095     30.000   3159.000 417466.000     29.961    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   -50.7368    16.6229    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.7699    14.7002    14.6907     5.0142     5.3912     1.000
      5    -0.4908    -0.0000     0.9986     0.0095     30.000   3095.000 417870.000     29.990    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   -51.0989    16.8926    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.7823    14.7002    14.6907     4.7736     5.1016     1.000
      6    -0.5007    -0.0000     0.9984     0.0095     30.000   2992.000 418171.000     30.012    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   -51.4446    17.1584    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.7945    14.7002    14.6907     4.6186     4.9680     1.000
      7    -0.5106    -0.0000     0.9983     0.0095     30.000   3092.000 417319.000     29.951    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   -51.7750    17.4278    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.8069    14.7002    14.6907     4.5120     4.8473     1.000
      8    -0.5206    -0.0000     0.9983     0.0095     30.000   3056.000 416959.000     29.925    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   -52.0910    17.7005    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.8194    14.7002    14.6907     4.5727     4.8502     1.000
      9    -0.5306    -0.0000     0.9983     0.0095     30.000   2975.000 416776.000     29.912    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   -52.3924    17.9723    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.8319    14.7002    14.6907     4.6175     4.9050     1.000
     10    -0.5406    -0.0000     0.9983     0.0095     30.000   3154.000 418757.000     30.054    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   -52.6805    18.2477    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.8446    14.7002    14.6907     4.6906     4.9652     1.000
     11    -0.5506    -0.0000     0.9983     0.0095     30.000   3029.000 417875.000     29.990    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   -52.9551    18.5243    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.8573    14.7002    14.6907     4.9148     5.1578     1.000
# Sum of Counts = 35264
# Center of Mass = -0.498632+/-0.003759
# Full Width Half-Maximum = 0.064502+/-0.002344
# 11:30:37 PM  9/5/2017   scan completed.
