# scan = 85
# date = 9/5/2017
# time = 11:31:16 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan h -0.47 -0.55 0.01 k 0 l -1 e 0
# builtin_command = scan h -0.47 -0.55 0.01 k 0 l -1 e 0
# users = Paula Kelley
# local_contact = 
# scan_title = check (-1/2 0 -1) peak at T=10K
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.166730,5.166730,16.945400,90.000000,90.000000,120.000000
# ubmatrix = 0.008357,-0.002576,-0.058936,0.221199,0.137518,0.001900,0.030791,-0.176151,0.002345
# mode = 0
# plane_normal = 0.034899,-0.139079,0.989661
# ubconf = UB05Sep2017_111606PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 30.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l          e       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef   cold_tip    tsample       temp
      1    -0.4696    -0.0000    -1.0019     0.0095     30.000   2602.000 419080.000     30.077    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000  -109.0138    16.3401    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.7569    14.7002    14.6907     4.8857     5.1476     1.000
      2    -0.4801    -0.0000    -1.0031     0.0095     30.000   2565.000 418744.000     30.053    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000  -108.3681    16.6231    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.7699    14.7002    14.6907     4.7415     5.0586     1.000
      3    -0.4901    -0.0000    -1.0032     0.0095     30.000   2540.000 418151.000     30.010    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000  -107.7379    16.8928    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.7823    14.7002    14.6907     4.7170     5.0442     1.000
      4    -0.5001    -0.0000    -1.0030     0.0095     30.000   2544.000 417456.000     29.960    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000  -107.1225    17.1597    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.7946    14.7002    14.6907     4.7547     5.0809     1.000
      5    -0.5100    -0.0000    -1.0028     0.0095     30.000   2542.000 419635.000     30.117    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000  -106.5211    17.4276    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.8069    14.7002    14.6907     4.6709     4.9967     1.000
      6    -0.5200    -0.0000    -1.0028     0.0095     30.000   2456.000 418247.000     30.017    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000  -105.9335    17.6999    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.8194    14.7002    14.6907     4.7729     5.0614     1.000
      7    -0.5300    -0.0000    -1.0028     0.0095     30.000   2495.000 418378.000     30.027    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000  -105.3588    17.9727    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.8319    14.7002    14.6907     4.8234     5.1168     1.000
      8    -0.5400    -0.0000    -1.0028     0.0095     30.000   2461.000 417831.000     29.987    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000  -104.7966    18.2469    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.8445    14.7002    14.6907     4.8706     5.1418     1.000
      9    -0.5501    -0.0000    -1.0030     0.0095     30.000   2384.000 417935.000     29.995    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000  -104.2464    18.5247    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.8573    14.7002    14.6907     4.8923     5.1966     1.000
# Sum of Counts = 22589
# Center of Mass = -0.509395+/-0.004796
# Full Width Half-Maximum = 0.051673+/-0.003206
# 11:36:43 PM  9/5/2017   scan completed.
