# scan = 86
# date = 9/5/2017
# time = 11:41:44 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan h -0.45 -0.55 0.01 k 0 l 1 e 0
# builtin_command = scan h -0.45 -0.55 0.01 k 0 l 1 e 0
# users = Paula Kelley
# local_contact = 
# scan_title = check (-1/2 0 1) peak at T=10K
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.166730,5.166730,16.945400,90.000000,90.000000,120.000000
# ubmatrix = 0.008357,-0.002576,-0.058936,0.221199,0.137518,0.001900,0.030791,-0.176151,0.002345
# mode = 0
# plane_normal = 0.034899,-0.139079,0.989661
# ubconf = UB05Sep2017_111606PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 30.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l          e       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef   cold_tip    tsample       temp
      1    -0.4502    -0.0000     0.9978     0.0095     29.987   3286.000 418009.000     30.000    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   -49.5463    15.8091    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.7325    14.7002    14.6907    10.1290    10.8660    10.000
      2    -0.4607    -0.0000     0.9985     0.0095     29.881   3210.000 418009.000     30.000    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   -49.9612    16.0893    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.7454    14.7002    14.6907    10.1170    10.8360    10.000
      3    -0.4707    -0.0000     0.9986     0.0095     29.983   3247.000 418009.000     30.000    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   -50.3579    16.3566    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.7577    14.7002    14.6907     9.9799    10.7980    10.000
      4    -0.4807    -0.0000     0.9986     0.0095     29.911   3211.000 418009.000     30.000    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   -50.7365    16.6235    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.7699    14.7002    14.6907    10.0350    10.7420    10.000
      5    -0.4908    -0.0000     0.9986     0.0095     29.954   3118.000 418009.000     30.000    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   -51.0989    16.8926    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.7823    14.7002    14.6907     9.9645    10.7460    10.000
      6    -0.5007    -0.0000     0.9984     0.0095     29.927   3202.000 418009.000     30.000    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   -51.4446    17.1586    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.7945    14.7002    14.6907    10.0450    10.7510    10.000
      7    -0.5106    -0.0000     0.9983     0.0095     29.893   3118.000 418009.000     30.000    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   -51.7750    17.4278    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.8069    14.7002    14.6907    10.1160    10.8550    10.000
      8    -0.5206    -0.0000     0.9983     0.0095     29.970   3125.000 418009.000     30.000    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   -52.0909    17.7001    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.8194    14.7002    14.6907     9.9854    10.7990    10.000
      9    -0.5305    -0.0000     0.9982     0.0095     29.916   3089.000 418009.000     30.000    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   -52.3925    17.9698    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.8318    14.7002    14.6907    10.0320    10.7320    10.000
     10    -0.5406    -0.0000     0.9982     0.0095     29.842   3084.000 418009.000     30.000    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000   -52.6804    18.2469    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     0.8445    14.7002    14.6907     9.5061    10.4070    10.000
