# scan = 87
# date = 9/5/2017
# time = 11:48:17 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan h 0 k 0 l 5 e 10 25 1   
# builtin_command = scan h 0 k 0 l 5 e 10 25 1
# users = Paula Kelley
# local_contact = 
# scan_title = T=10K const-Q scan at H=0
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.166730,5.166730,16.945400,90.000000,90.000000,120.000000
# ubmatrix = 0.008357,-0.002576,-0.058936,0.221199,0.137518,0.001900,0.030791,-0.176151,0.002345
# mode = 0
# plane_normal = 0.034899,-0.139079,0.989661
# ubconf = UB05Sep2017_111606PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 600.000000
# def_x = e
# def_y = detector
# col_headers = 
#   Pt.          h          k          l          e       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef   cold_tip    tsample       temp
      1    -0.0006     0.0000     5.0022    10.0111    518.131    944.000 8360161.000    600.000    51.5312   -22.2454   -31.4722   119.9771     2.6000    -2.0000   -45.1562    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    42.3451    32.1296    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.8548    24.7018    14.6907    10.1040    10.8340    10.000
      2    -0.0006     0.0000     5.0005    11.0103    515.442    946.000 8360161.000    600.000    50.5187   -22.2454   -30.8389   119.9771     2.6000    -2.0000   -46.1257    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    44.1911    31.1239    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.8542    25.7010    14.6907     9.9858    10.7010    10.000
      3    -0.0006     0.0000     5.0008    12.0104    514.948    919.000 8360161.000    600.000    49.5636   -22.2454   -30.2417   119.9771     2.6000    -2.0000   -47.0791    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    46.0395    30.1060    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.8542    26.7011    14.6907    10.0350    10.6860    10.000
      4    -0.0006     0.0000     5.0012    13.0106    498.117    995.000 8360161.000    600.000    48.6608   -22.2454   -29.6779   119.9771     2.6000    -2.0000   -48.0174    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    47.8949    29.0615    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.8544    27.7013    14.6907    10.0360    10.6840    10.000
      5    -0.0007     0.0000     5.0005    14.0108    505.745    969.000 8360161.000    600.000    47.8055   -22.2454   -29.1446   119.9771     2.6000    -2.0000   -48.9414    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    49.7644    27.9773    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.8541    28.7015    14.6907    10.0220    10.6840    10.000
      6    -0.0006     0.0000     5.0014    15.0111    506.068   1105.000 8360161.000    600.000    46.9938   -22.2454   -28.6389   119.9771     2.6000    -2.0000   -49.8518    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    51.6551    26.8719    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.8545    29.7018    14.6907    10.0240    10.7200    10.000
      7    -0.0006     0.0000     5.0008    16.0110    499.904   1111.000 8360161.000    600.000    46.2221   -22.2454   -28.1590   119.9771     2.6000    -2.0000   -50.7492    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    53.5750    25.7164    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.8543    30.7017    14.6907    10.0430    10.6780    10.000
      8    -0.0005     0.0000     5.0017    17.0113    499.062    992.000 8360161.000    600.000    45.4872   -22.2454   -27.7021   119.9771     2.6000    -2.0000   -51.6345    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    55.5329    24.5298    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.8546    31.7020    14.6907    10.0420    10.6660    10.000
      9    -0.0006     0.0000     5.0015    18.0115    493.675   1116.000 8360161.000    600.000    44.7863   -22.2454   -27.2669   119.9771     2.6000    -2.0000   -52.5081    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    57.5400    23.2843    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.8545    32.7022    14.6907    10.0370    10.6410    10.000
     10    -0.0005     0.0000     5.0017    19.0115    488.779   1236.000 8360161.000    600.000    44.1168   -22.2454   -26.8516   119.9771     2.6000    -2.0000   -53.3706    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    59.6094    21.9853    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.8546    33.7022    14.6907     9.9998    10.6620    10.000
     11    -0.0004     0.0000     5.0023    20.0124    483.162   1320.000 8360161.000    600.000    43.4765   -22.2454   -26.4544   119.9771     2.6000    -2.0000   -54.2224    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    61.7576    20.6204    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.8548    34.7031    14.6907    10.0290    10.6730    10.000
     12    -0.0004     0.0000     5.0024    21.0126    476.707   1514.000 8360161.000    600.000    42.8632   -22.2454   -26.0746   119.9771     2.6000    -2.0000   -55.0642    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    64.0069    19.1674    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.8548    35.7033    14.6907     9.9304    10.6550    10.000
     13    -0.0006     0.0000     5.0016    22.0115    471.596   1370.000 8360161.000    600.000    42.2752   -22.2454   -25.7112   119.9771     2.6000    -2.0000   -55.8961    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    66.3879    17.6017    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.8545    36.7022    14.6907     9.9594    10.7050    10.000
     14    -0.0003     0.0000     5.0025    23.0122    463.012   1378.000 8360161.000    600.000    41.7108   -22.2454   -25.3619   119.9771     2.6000    -2.0000   -56.7188    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    68.9447    15.9194    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.8549    37.7029    14.6907     9.9310    10.6470    10.000
     15    -0.0004     0.0000     5.0022    24.0123    452.842   1277.000 8360161.000    600.000    41.1683   -22.2454   -25.0267   119.9771     2.6000    -2.0000   -57.5324    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    71.7475    14.0389    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.8548    38.7030    14.6907    10.0130    10.6530    10.000
     16    -0.0003     0.0000     5.0026    25.0125    448.724   1319.000 8360161.000    600.000    40.6465   -22.2454   -24.7044   119.9771     2.6000    -2.0000   -58.3375    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    74.9206    11.8969    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.8549    39.7032    14.6907     9.9403    10.6590    10.000
# Sum of Counts = 18511
# Center of Mass = 18.152814+/-0.191623
# Full Width Half-Maximum = 9.091022+/-0.110444
# 2:14:11 AM  9/6/2017   scan completed.
