# scan = 88
# date = 9/6/2017
# time = 2:14:11 AM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan h -0.5 k 0 l 5 e 10 25 1 
# builtin_command = scan h -0.5 k 0 l 5 e 10 25 1
# users = Paula Kelley
# local_contact = 
# scan_title = T=10K const-Q scan at H=-0.5
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.166730,5.166730,16.945400,90.000000,90.000000,120.000000
# ubmatrix = 0.008357,-0.002576,-0.058936,0.221199,0.137518,0.001900,0.030791,-0.176151,0.002345
# mode = 0
# plane_normal = 0.034899,-0.139079,0.989661
# ubconf = UB05Sep2017_111606PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 600.000000
# def_x = e
# def_y = detector
# col_headers = 
#   Pt.          h          k          l          e       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef   cold_tip    tsample       temp
      1    -0.5008     0.0000     5.0013    10.0099    514.132   1485.000 8360161.000    600.000    51.5312   -22.2454   -31.4730   119.9771     2.6000    -2.0000   -45.1562    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    21.1674    34.9147    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.9833    24.7006    14.6907    10.0340    10.6710    10.000
      2    -0.5006     0.0000     4.9994    11.0101    510.076    905.000 8360161.000    600.000    50.5187   -22.2454   -30.8390   119.9771     2.6000    -2.0000   -46.1257    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    22.8272    33.9229    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.9825    25.7008    14.6907    10.1170    10.8470    10.000
      3    -0.5006     0.0000     4.9992    12.0102    510.376    722.000 8360161.000    600.000    49.5636   -22.2454   -30.2418   119.9771     2.6000    -2.0000   -47.0791    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    24.4838    32.9275    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.9825    26.7009    14.6907    10.0090    10.6440    10.000
      4    -0.5006     0.0000     4.9998    13.0104    494.055    828.000 8360161.000    600.000    48.6608   -22.2454   -29.6781   119.9771     2.6000    -2.0000   -48.0174    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.1418    31.9176    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.9827    27.7010    14.6907    10.0200    10.6630    10.000
      5    -0.5006     0.0000     5.0002    14.0102    501.768    997.000 8360161.000    600.000    47.8055   -22.2454   -29.1449   119.9771     2.6000    -2.0000   -48.9414    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    27.8060    30.8834    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.9828    28.7009    14.6907     9.9723    10.6610    10.000
      6    -0.5006     0.0000     4.9997    15.0103    501.972    975.000 8360161.000    600.000    46.9938   -22.2454   -28.6393   119.9771     2.6000    -2.0000   -49.8518    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    29.4819    29.8170    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.9826    29.7010    14.6907    10.0120    10.6560    10.000
      7    -0.5006     0.0000     5.0005    16.0105    495.039    985.000 8360161.000    600.000    46.2221   -22.2454   -28.1592   119.9771     2.6000    -2.0000   -50.7492    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    31.1740    28.7343    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.9829    30.7012    14.6907    10.0170    10.6560    10.000
      8    -0.5006     0.0000     4.9999    17.0106    495.126   1007.000 8360161.000    600.000    45.4872   -22.2454   -27.7024   119.9771     2.6000    -2.0000   -51.6345    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    32.8885    27.6093    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.9827    31.7013    14.6907    10.0530    10.6420    10.000
      9    -0.5007     0.0000     5.0006    18.0110    489.092   1145.000 8360161.000    600.000    44.7863   -22.2454   -27.2671   119.9771     2.6000    -2.0000   -52.5081    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    34.6318    26.4605    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.9830    32.7017    14.6907     9.9806    11.0710    10.000
     10    -0.5006     0.0000     5.0006    19.0108    483.932   1211.000 8360161.000    600.000    44.1168   -22.2454   -26.8519   119.9771     2.6000    -2.0000   -53.3706    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    36.4117    25.2668    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.9830    33.7015    14.6907    10.0300    10.6450    10.000
