# scan = 90
# date = 9/6/2017
# time = 6:08:07 AM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan h 0 -1 0.1 k 0 l 5 e 12    
# builtin_command = scan h 0 -1 0.1 k 0 l 5 e 12
# users = Paula Kelley
# local_contact = 
# scan_title = T=10K const-E scan at 12 meV
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.166730,5.166730,16.945400,90.000000,90.000000,120.000000
# ubmatrix = 0.008357,-0.002576,-0.058936,0.221199,0.137518,0.001900,0.030791,-0.176151,0.002345
# mode = 0
# plane_normal = 0.034899,-0.139079,0.989661
# ubconf = UB05Sep2017_111606PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 600.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l          e       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef   cold_tip    tsample       temp
      1    -0.0006     0.0000     5.0007    12.0095    504.963    931.000 8360161.000    600.000    49.5636   -22.2454   -30.2423   119.9771     2.6000    -2.0000   -47.0791    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    46.0395    30.1062    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.8542    26.7001    14.6907    10.0570    10.6190    10.000
      2    -0.1005     0.0000     5.0018    12.0095    504.301    946.000 8360161.000    600.000    49.5636   -22.2454   -30.2423   119.9771     2.6000    -2.0000   -47.0791    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    41.6680    30.2345    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.8600    26.7001    14.6907    10.0470    10.6180    10.000
      3    -0.2006     0.0000     5.0018    12.0095    504.369    903.000 8360161.000    600.000    49.5636   -22.2454   -30.2423   119.9771     2.6000    -2.0000   -47.0791    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    37.2698    30.5857    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.8759    26.7001    14.6907     9.7549    10.0400    10.000
      4    -0.3006     0.0000     5.0019    12.0095    504.340    835.000 8360161.000    600.000    49.5636   -22.2454   -30.2423   119.9771     2.6000    -2.0000   -47.0791    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    32.9021    31.1643    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.9021    26.7001    14.6907     9.9526    10.6440    10.000
      5    -0.4006     0.0000     5.0014    12.0095    504.580    840.000 8360161.000    600.000    49.5636   -22.2454   -30.2423   119.9771     2.6000    -2.0000   -47.0791    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    28.6224    31.9521    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.9379    26.7001    14.6907    10.0530    10.6230    10.000
      6    -0.5007     0.0000     5.0012    12.0095    504.365    791.000 8360161.000    600.000    49.5636   -22.2454   -30.2423   119.9771     2.6000    -2.0000   -47.0791    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    24.4834    32.9444    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.9832    26.7001    14.6907     9.9708    10.6180    10.000
      7    -0.6007     0.0000     5.0013    12.0095    504.012   2146.000 8360161.000    600.000    49.5636   -22.2454   -30.2423   119.9771     2.6000    -2.0000   -47.0791    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    20.5306    34.1233    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.0373    26.7001    14.6907    10.0520    10.6130    10.000
      8    -0.7007     0.0000     5.0009    12.0095    504.851    812.000 8360161.000    600.000    49.5636   -22.2454   -30.2423   119.9771     2.6000    -2.0000   -47.0791    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    16.7984    35.4686    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.0992    26.7001    14.6907     9.9822    10.6440    10.000
      9    -0.8007     0.0000     5.0005    12.0095    504.322    727.000 8360161.000    600.000    49.5636   -22.2454   -30.2423   119.9771     2.6000    -2.0000   -47.0791    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    13.3127    36.9684    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.1685    26.7001    14.6907    10.0370    10.6290    10.000
     10    -0.9008     0.0000     5.0003    12.0095    505.518    735.000 8360161.000    600.000    49.5636   -22.2454   -30.2423   119.9771     2.6000    -2.0000   -47.0791    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    10.0881    38.6080    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2444    26.7001    14.6907    10.0490    10.6270    10.000
