# scan = 91
# date = 9/6/2017
# time = 8:54:00 AM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan h -0.95 -0.85 0.02 k 0 l 5 e 18
# builtin_command = scan h -0.95 -0.85 0.02 k 0 l 5 e 18
# users = Paula Kelley
# local_contact = 
# scan_title = T=10K const-E fine scan at 18 meV
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.166730,5.166730,16.945400,90.000000,90.000000,120.000000
# ubmatrix = 0.008357,-0.002576,-0.058936,0.221199,0.137518,0.001900,0.030791,-0.176151,0.002345
# mode = 0
# plane_normal = 0.034899,-0.139079,0.989661
# ubconf = UB05Sep2017_111606PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 300.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l          e       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef   cold_tip    tsample       temp
      1    -0.9507     0.0000     4.9996    18.0114    241.852    830.000 4180081.000    300.000    44.7863   -22.2454   -27.2669   119.9771     2.6000    -2.0000   -52.5081    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    16.4196    33.4430    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2845    32.7021    14.6907     9.9779    10.7980    10.000
      2    -0.9307     0.0000     4.9997    18.0114    242.117   1065.000 4180081.000    300.000    44.7863   -22.2454   -27.2669   119.9771     2.6000    -2.0000   -52.5081    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    17.1195    33.0767    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2682    32.7021    14.6907     9.9597    10.7450    10.000
      3    -0.9106     0.0000     4.9992    18.0114    241.654   7715.000 4180081.000    300.000    44.7863   -22.2454   -27.2669   119.9771     2.6000    -2.0000   -52.5081    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    17.8305    32.7107    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2519    32.7021    14.6907    10.0480    10.7260    10.000
      4    -0.8906     0.0000     4.9992    18.0114    241.800  25867.000 4180081.000    300.000    44.7863   -22.2454   -27.2669   119.9771     2.6000    -2.0000   -52.5081    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    18.5526    32.3532    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2361    32.7021    14.6907     9.9403    10.7370    10.000
      5    -0.8707     0.0000     4.9996    18.0114    241.653   3059.000 4180081.000    300.000    44.7863   -22.2454   -27.2669   119.9771     2.6000    -2.0000   -52.5081    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    19.2860    32.0030    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2207    32.7021    14.6907    10.0530    10.7200    10.000
      6    -0.8507     0.0000     4.9998    18.0114    241.860   1623.000 4180081.000    300.000    44.7863   -22.2454   -27.2669   119.9771     2.6000    -2.0000   -52.5081    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    20.0302    31.6562    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2054    32.7021    14.6907     9.9398    10.7360    10.000
# Sum of Counts = 40159
# Center of Mass = -0.893619+/-0.006307
# Full Width Half-Maximum = 0.033438+/-0.003612
# 9:19:29 AM  9/6/2017   scan completed.
