# scan = 104
# date = 9/6/2017
# time = 9:49:59 AM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scanrel s1 3 -3 0.3
# builtin_command = scan s1 @(s1)+3 @(s1)+-3 0.300000
# users = Paula Kelley
# local_contact = 
# scan_title = Check 1 0 -2 Bragg peak
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.166730,5.166730,16.945400,90.000000,90.000000,120.000000
# ubmatrix = 0.008357,-0.002576,-0.058936,0.221199,0.137518,0.001900,0.030791,-0.176151,0.002345
# mode = 0
# plane_normal = 0.034899,-0.139079,0.989661
# ubconf = UB05Sep2017_111606PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
      1    29.8305      0.977   1429.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    49.3782    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2247     0.0823     0.0000     5.9918    14.7001    14.6907     0.0094    10.0750    10.7460    10.000
      2    29.5301      0.978   2026.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    49.3782    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2247     0.0740     0.0000     5.9933    14.7001    14.6907     0.0094    10.0090    10.7470    10.000
      3    29.2301      0.971   3356.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    49.3782    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2247     0.0657     0.0000     5.9947    14.7001    14.6907     0.0094     9.9484    10.7480    10.000
      4    28.9301      0.965  15379.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    49.3782    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2247     0.0574     0.0000     5.9960    14.7001    14.6907     0.0094     9.9992    10.7490    10.000
      5    28.6301      0.969  29351.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    49.3782    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2247     0.0491     0.0000     5.9970    14.7001    14.6907     0.0094    10.0380    10.7510    10.000
      6    28.3301      0.971  23629.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    49.3782    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2247     0.0408     0.0000     5.9979    14.7001    14.6907     0.0094    10.0460    10.7530    10.000
      7    28.0301      0.971  30906.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    49.3782    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2247     0.0325     0.0000     5.9986    14.7001    14.6907     0.0094    10.0310    10.7570    10.000
      8    27.7303      0.974  48395.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    49.3782    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2247     0.0242     0.0000     5.9992    14.7001    14.6907     0.0094     9.9949    10.7610    10.000
      9    27.4303      0.953  85169.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    49.3782    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2247     0.0159     0.0000     5.9996    14.7001    14.6907     0.0094    10.1160    10.7650    10.000
     10    27.1301      0.954 116017.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    49.3782    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2247     0.0076     0.0000     5.9998    14.7001    14.6907     0.0094    10.1480    10.7710    10.000
