# scan = 105
# date = 9/6/2017
# time = 10:23:52 AM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scanrel a2 -3 3 .2
# builtin_command = scan a2 @(a2)+-3 @(a2)+3 0.200000
# users = Paula Kelley
# local_contact = 
# scan_title = Check 1 0 -2 Bragg peak
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.166730,5.166730,16.945400,90.000000,90.000000,120.000000
# ubmatrix = 0.008357,-0.002576,-0.058936,0.221199,0.137518,0.001900,0.030791,-0.176151,0.002345
# mode = 0
# plane_normal = 0.034899,-0.139079,0.989661
# ubconf = UB05Sep2017_111606PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = a2
# def_y = detector
# col_headers = 
#   Pt.         a2       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgl        sgu        stl        stu         a1          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
      1    -3.0000      1.361     26.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995    34.0972    19.2462     3.9347    42.8451    14.7001  2651.4720 -2636.7718     1.0000     1.0000    10.000
      2    -2.8000      1.364     35.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995    36.6476    20.7341     4.2326    45.6883    14.7001  3043.6892 -3028.9891     1.0000     1.0000    10.000
      3    -2.6000      1.368     55.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995    39.5910    22.4508     4.5764    48.9689    14.7001  3529.8586 -3515.1585     1.0000     1.0000    10.000
      4    -2.4000      1.364    117.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995    43.0257    24.4538     4.9774    52.7963    14.7001  4142.5711 -4127.8709     1.0000     1.0000    10.000
      5    -2.2000      1.361    313.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995    47.0858    26.8209     5.4514    57.3197    14.7001  4929.8797 -4915.1796     1.0000     1.0000    10.000
      6    -2.0000      1.367    529.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995    51.9587    29.6615     6.0202    62.7479    14.7001  5965.0169 -5950.3168     1.0000     1.0000    10.000
      7    -1.8000      1.370   1087.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995    57.9155    33.1334     6.7154    69.3823    14.7001  7364.0608 -7349.3607     1.0000     1.0000    10.000
      8    -1.6000      1.401   1737.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995    65.3626    37.4732     7.5845    77.6754    14.7001  9319.9540 -9305.2539     1.0000     1.0000    10.000
      9    -1.4000      1.376   2373.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995    74.9387    43.0531     8.7018    88.3380    14.7001 12172.7744 -12158.0743     1.0000     1.0000    10.000
     10    -1.2000      1.393   3395.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995    87.7082    50.4929    10.1915   102.5549    14.7001 16568.2049 -16553.5047     1.0000     1.0000    10.000
